phi,rho,mass,status,r_final
-6.283185307179586,-6.283185307179586,0.0027400826720522125,0,4.9901
-6.283185307179586,-4.487989505128276,0.0027400826557976246,0,4.9901
-6.283185307179586,-2.6927937030769655,0.0027400826246839743,0,4.9901
-6.283185307179586,-0.8975979010256552,0.0027400825456731183,0,4.9901
-6.283185307179586,0.8975979010256552,0.0027400825456731183,0,4.9901
-6.283185307179586,2.6927937030769655,0.0027400826246839743,0,4.9901
-6.283185307179586,4.487989505128276,0.0027400826557976246,0,4.9901
-6.283185307179586,6.283185307179586,0.0027400826720522125,0,4.9901
-4.487989505128276,-6.283185307179586,0.07118251898742198,0,4.9901
-4.487989505128276,-4.487989505128276,0.06024347871004886,0,4.9901
-4.487989505128276,-2.6927937030769655,0.04656189272684758,0,4.9901
-4.487989505128276,-0.8975979010256552,0.03970423069418116,0,4.9901
-4.487989505128276,0.8975979010256552,0.03970423069418116,0,4.9901
-4.487989505128276,2.6927937030769655,0.04656189272684758,0,4.9901
-4.487989505128276,4.487989505128276,0.06024347871004886,0,4.9901
-4.487989505128276,6.283185307179586,0.07118251898742198,0,4.9901
-2.6927937030769655,-6.283185307179586,0.332320384910595,0,4.9901
-2.6927937030769655,-4.487989505128276,0.2764786272107223,0,4.9901
-2.6927937030769655,-2.6927937030769655,0.21648078033330242,0,4.9901
-2.6927937030769655,-0.8975979010256552,0.18768724148998112,0,4.9901
-2.6927937030769655,0.8975979010256552,0.18768724148998112,0,4.9901
-2.6927937030769655,2.6927937030769655,0.21648078033330242,0,4.9901
-2.6927937030769655,4.487989505128276,0.2764786272107223,0,4.9901
-2.6927937030769655,6.283185307179586,0.332320384910595,0,4.9901
-0.8975979010256552,-6.283185307179586,1.094168542976469,0,4.9901
-0.8975979010256552,-4.487989505128276,0.9079408289737472,0,4.9901
-0.8975979010256552,-2.6927937030769655,0.7606588214859671,0,4.9901
-0.8975979010256552,-0.8975979010256552,0.6923755369837675,0,4.9901
-0.8975979010256552,0.8975979010256552,0.6923755369837675,0,4.9901
-0.8975979010256552,2.6927937030769655,0.7606588214859671,0,4.9901
-0.8975979010256552,4.487989505128276,0.9079408289737472,0,4.9901
-0.8975979010256552,6.283185307179586,1.094168542976469,0,4.9901
0.8975979010256552,-6.283185307179586,1.094168542976469,0,4.9901
0.8975979010256552,-4.487989505128276,0.9079408289737472,0,4.9901
0.8975979010256552,-2.6927937030769655,0.7606588214859671,0,4.9901
0.8975979010256552,-0.8975979010256552,0.6923755369837675,0,4.9901
0.8975979010256552,0.8975979010256552,0.6923755369837675,0,4.9901
0.8975979010256552,2.6927937030769655,0.7606588214859671,0,4.9901
0.8975979010256552,4.487989505128276,0.9079408289737472,0,4.9901
0.8975979010256552,6.283185307179586,1.094168542976469,0,4.9901
2.6927937030769655,-6.283185307179586,0.332320384910595,0,4.9901
2.6927937030769655,-4.487989505128276,0.2764786272107223,0,4.9901
2.6927937030769655,-2.6927937030769655,0.21648078033330242,0,4.9901
2.6927937030769655,-0.8975979010256552,0.18768724148998112,0,4.9901
2.6927937030769655,0.8975979010256552,0.18768724148998112,0,4.9901
2.6927937030769655,2.6927937030769655,0.21648078033330242,0,4.9901
2.6927937030769655,4.487989505128276,0.2764786272107223,0,4.9901
2.6927937030769655,6.283185307179586,0.332320384910595,0,4.9901
4.487989505128276,-6.283185307179586,0.07118251898742198,0,4.9901
4.487989505128276,-4.487989505128276,0.06024347871004886,0,4.9901
4.487989505128276,-2.6927937030769655,0.04656189272684758,0,4.9901
4.487989505128276,-0.8975979010256552,0.03970423069418116,0,4.9901
4.487989505128276,0.8975979010256552,0.03970423069418116,0,4.9901
4.487989505128276,2.6927937030769655,0.04656189272684758,0,4.9901
4.487989505128276,4.487989505128276,0.06024347871004886,0,4.9901
4.487989505128276,6.283185307179586,0.07118251898742198,0,4.9901
6.283185307179586,-6.283185307179586,0.0027400826720522125,0,4.9901
6.283185307179586,-4.487989505128276,0.0027400826557976246,0,4.9901
6.283185307179586,-2.6927937030769655,0.0027400826246839743,0,4.9901
6.283185307179586,-0.8975979010256552,0.0027400825456731183,0,4.9901
6.283185307179586,0.8975979010256552,0.0027400825456731183,0,4.9901
6.283185307179586,2.6927937030769655,0.0027400826246839743,0,4.9901
6.283185307179586,4.487989505128276,0.0027400826557976246,0,4.9901
6.283185307179586,6.283185307179586,0.0027400826720522125,0,4.9901
