phi,theta,mass,status,r_final
-6.283185307179586,-6.283185307179586,0.0027400826720522125,0,4.9901
-6.283185307179586,-4.487989505128276,0.0027400826557976246,0,4.9901
-6.283185307179586,-2.6927937030769655,0.0027400826246839743,0,4.9901
-6.283185307179586,-0.8975979010256552,0.0027400825456731183,0,4.9901
-6.283185307179586,0.8975979010256552,0.0027400825456731183,0,4.9901
-6.283185307179586,2.6927937030769655,0.0027400826246839743,0,4.9901
-6.283185307179586,4.487989505128276,0.0027400826557976246,0,4.9901
-6.283185307179586,6.283185307179586,0.0027400826720522125,0,4.9901
-4.487989505128276,-6.283185307179586,0.07118251898742198,0,4.9901
-4.487989505128276,-4.487989505128276,0.07118251898769769,0,4.9901
-4.487989505128276,-2.6927937030769655,0.07118251898822749,0,4.9901
-4.487989505128276,-0.8975979010256552,0.07118251898959814,0,4.9901
-4.487989505128276,0.8975979010256552,0.07118251898959814,0,4.9901
-4.487989505128276,2.6927937030769655,0.07118251898822749,0,4.9901
-4.487989505128276,4.487989505128276,0.07118251898769769,0,4.9901
-4.487989505128276,6.283185307179586,0.07118251898742198,0,4.9901
-2.6927937030769655,-6.283185307179586,0.332320384910595,0,4.9901
-2.6927937030769655,-4.487989505128276,0.3323203849230302,0,4.9901
-2.6927937030769655,-2.6927937030769655,0.3323203849470121,0,4.9901
-2.6927937030769655,-0.8975979010256552,0.3323203850091191,0,4.9901
-2.6927937030769655,0.8975979010256552,0.3323203850091191,0,4.9901
-2.6927937030769655,2.6927937030769655,0.3323203849470121,0,4.9901
-2.6927937030769655,4.487989505128276,0.3323203849230302,0,4.9901
-2.6927937030769655,6.283185307179586,0.332320384910595,0,4.9901
-0.8975979010256552,-6.283185307179586,1.094168542976469,0,4.9901
-0.8975979010256552,-4.487989505128276,1.0941685429449768,0,4.9901
-0.8975979010256552,-2.6927937030769655,1.094168542883435,0,4.9901
-0.8975979010256552,-0.8975979010256552,1.0941685427183245,0,4.9901
-0.8975979010256552,0.8975979010256552,1.0941685427183245,0,4.9901
-0.8975979010256552,2.6927937030769655,1.094168542883435,0,4.9901
-0.8975979010256552,4.487989505128276,1.0941685429449768,0,4.9901
-0.8975979010256552,6.283185307179586,1.094168542976469,0,4.9901
0.8975979010256552,-6.283185307179586,1.094168542976469,0,4.9901
0.8975979010256552,-4.487989505128276,1.0941685429449768,0,4.9901
0.8975979010256552,-2.6927937030769655,1.094168542883435,0,4.9901
0.8975979010256552,-0.8975979010256552,1.0941685427183245,0,4.9901
0.8975979010256552,0.8975979010256552,1.0941685427183245,0,4.9901
0.8975979010256552,2.6927937030769655,1.094168542883435,0,4.9901
0.8975979010256552,4.487989505128276,1.0941685429449768,0,4.9901
0.8975979010256552,6.283185307179586,1.094168542976469,0,4.9901
2.6927937030769655,-6.283185307179586,0.332320384910595,0,4.9901
2.6927937030769655,-4.487989505128276,0.3323203849230302,0,4.9901
2.6927937030769655,-2.6927937030769655,0.3323203849470121,0,4.9901
2.6927937030769655,-0.8975979010256552,0.3323203850091191,0,4.9901
2.6927937030769655,0.8975979010256552,0.3323203850091191,0,4.9901
2.6927937030769655,2.6927937030769655,0.3323203849470121,0,4.9901
2.6927937030769655,4.487989505128276,0.3323203849230302,0,4.9901
2.6927937030769655,6.283185307179586,0.332320384910595,0,4.9901
4.487989505128276,-6.283185307179586,0.07118251898742198,0,4.9901
4.487989505128276,-4.487989505128276,0.07118251898769769,0,4.9901
4.487989505128276,-2.6927937030769655,0.07118251898822749,0,4.9901
4.487989505128276,-0.8975979010256552,0.07118251898959814,0,4.9901
4.487989505128276,0.8975979010256552,0.07118251898959814,0,4.9901
4.487989505128276,2.6927937030769655,0.07118251898822749,0,4.9901
4.487989505128276,4.487989505128276,0.07118251898769769,0,4.9901
4.487989505128276,6.283185307179586,0.07118251898742198,0,4.9901
6.283185307179586,-6.283185307179586,0.0027400826720522125,0,4.9901
6.283185307179586,-4.487989505128276,0.0027400826557976246,0,4.9901
6.283185307179586,-2.6927937030769655,0.0027400826246839743,0,4.9901
6.283185307179586,-0.8975979010256552,0.0027400825456731183,0,4.9901
6.283185307179586,0.8975979010256552,0.0027400825456731183,0,4.9901
6.283185307179586,2.6927937030769655,0.0027400826246839743,0,4.9901
6.283185307179586,4.487989505128276,0.0027400826557976246,0,4.9901
6.283185307179586,6.283185307179586,0.0027400826720522125,0,4.9901
