theta,rho,mass,status,r_final
-6.283185307179586,-6.283185307179586,0.24024227126128006,0,4.9901
-6.283185307179586,-4.487989505128276,0.2006817971443187,0,4.9901
-6.283185307179586,-2.6927937030769655,0.15598518562334285,0,4.9901
-6.283185307179586,-0.8975979010256552,0.13426123853316266,0,4.9901
-6.283185307179586,0.8975979010256552,0.1342612385391416,0,4.9901
-6.283185307179586,2.6927937030769655,0.1559851857081857,0,4.9901
-6.283185307179586,4.487989505128276,0.20068179731286012,0,4.9901
-6.283185307179586,6.283185307179586,0.24024227126128006,0,4.9901
-4.487989505128276,-6.283185307179586,0.24024227115117372,0,4.9901
-4.487989505128276,-4.487989505128276,0.2006817990957713,0,4.9901
-4.487989505128276,-2.6927937030769655,0.15598518639648978,0,4.9901
-4.487989505128276,-0.8975979010256552,0.13426123886534594,0,4.9901
-4.487989505128276,0.8975979010256552,0.13426123887931643,0,4.9901
-4.487989505128276,2.6927937030769655,0.15598518659429417,0,4.9901
-4.487989505128276,4.487989505128276,0.20068179948935533,0,4.9901
-4.487989505128276,6.283185307179586,0.24024227115117372,0,4.9901
-2.6927937030769655,-6.283185307179586,0.24024227094059092,0,4.9901
-2.6927937030769655,-4.487989505128276,0.20068180437884578,0,4.9901
-2.6927937030769655,-2.6927937030769655,0.15598518849899445,0,4.9901
-2.6927937030769655,-0.8975979010256552,0.13426123972465925,0,4.9901
-2.6927937030769655,0.8975979010256552,0.13426123977048277,0,4.9901
-2.6927937030769655,2.6927937030769655,0.15598518914400927,0,4.9901
-2.6927937030769655,4.487989505128276,0.20068180566818283,0,4.9901
-2.6927937030769655,6.283185307179586,0.24024227094059092,0,4.9901
-0.8975979010256552,-6.283185307179586,0.24024227040706164,0,4.9901
-0.8975979010256552,-4.487989505128276,0.20068182926911463,0,4.9901
-0.8975979010256552,-2.6927937030769655,0.15598519812755157,0,4.9901
-0.8975979010256552,-0.8975979010256552,0.13426124366855552,0,4.9901
-0.8975979010256552,0.8975979010256552,0.13426124400540887,0,4.9901
-0.8975979010256552,2.6927937030769655,0.15598520273521654,0,4.9901
-0.8975979010256552,4.487989505128276,0.20068183870682893,0,4.9901
-0.8975979010256552,6.283185307179586,0.24024227040706164,0,4.9901
0.8975979010256552,-6.283185307179586,0.24024227040706164,0,4.9901
0.8975979010256552,-4.487989505128276,0.20068183870682893,0,4.9901
0.8975979010256552,-2.6927937030769655,0.15598520273521654,0,4.9901
0.8975979010256552,-0.8975979010256552,0.13426124400540887,0,4.9901
0.8975979010256552,0.8975979010256552,0.13426124366855552,0,4.9901
0.8975979010256552,2.6927937030769655,0.15598519812755157,0,4.9901
0.8975979010256552,4.487989505128276,0.20068182926911463,0,4.9901
0.8975979010256552,6.283185307179586,0.24024227040706164,0,4.9901
2.6927937030769655,-6.283185307179586,0.24024227094059092,0,4.9901
2.6927937030769655,-4.487989505128276,0.20068180566818283,0,4.9901
2.6927937030769655,-2.6927937030769655,0.15598518914400927,0,4.9901
2.6927937030769655,-0.8975979010256552,0.13426123977048277,0,4.9901
2.6927937030769655,0.8975979010256552,0.13426123972465925,0,4.9901
2.6927937030769655,2.6927937030769655,0.15598518849899445,0,4.9901
2.6927937030769655,4.487989505128276,0.20068180437884578,0,4.9901
2.6927937030769655,6.283185307179586,0.24024227094059092,0,4.9901
4.487989505128276,-6.283185307179586,0.24024227115117372,0,4.9901
4.487989505128276,-4.487989505128276,0.20068179948935533,0,4.9901
4.487989505128276,-2.6927937030769655,0.15598518659429417,0,4.9901
4.487989505128276,-0.8975979010256552,0.13426123887931643,0,4.9901
4.487989505128276,0.8975979010256552,0.13426123886534594,0,4.9901
4.487989505128276,2.6927937030769655,0.15598518639648978,0,4.9901
4.487989505128276,4.487989505128276,0.2006817990957713,0,4.9901
4.487989505128276,6.283185307179586,0.24024227115117372,0,4.9901
6.283185307179586,-6.283185307179586,0.24024227126128006,0,4.9901
6.283185307179586,-4.487989505128276,0.20068179731286012,0,4.9901
6.283185307179586,-2.6927937030769655,0.1559851857081857,0,4.9901
6.283185307179586,-0.8975979010256552,0.1342612385391416,0,4.9901
6.283185307179586,0.8975979010256552,0.13426123853316266,0,4.9901
6.283185307179586,2.6927937030769655,0.15598518562334285,0,4.9901
6.283185307179586,4.487989505128276,0.2006817971443187,0,4.9901
6.283185307179586,6.283185307179586,0.24024227126128006,0,4.9901
