id,omega0,theta0,phi0,rho0,xp0,r_max,dr,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,mass_90_radius,core_mass_fraction,skewness_proxy,final_2m_over_r
scalar_angle_only,0.5,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",20.0,0.01,0,The solver successfully reached the end of the integration interval.,False,[],19.9901,0.10803937636466483,14.6501,18.9801,0.00020437455991898193,0.9556330202273398,0.010809288234142383
theta_dom_angle_only,0.5,3.141592653589793,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",20.0,0.01,0,The solver successfully reached the end of the integration interval.,False,[],19.9901,0.1080393706984325,14.6501,18.9801,0.00020437321176787886,0.9556330051286593,0.010809287667238533
phi_dom_angle_only,0.5,0.0,0.7853981633974483,0.0,"[0.0, 0.0, 0.0, 0.0]",20.0,0.01,1,A termination event occurred.,True,[3.276765541793603],3.2701000000000002,1.4655642331591916,2.6001000000000003,3.1601000000000004,0.027755994707564378,0.9432583585931568,0.8963421504903162
fully_mixed_angle_only,0.5,3.141592653589793,0.7853981633974483,1.5707963267948966,"[0.0, 0.0, 0.0, 0.0]",20.0,0.01,1,A termination event occurred.,True,[3.2767655417937442],3.2701000000000002,1.465564233159233,2.6001000000000003,3.1601000000000004,0.027755994707814344,0.9432583585931186,0.8963421504903415
