theta,phi,rho,chi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count
-6.283185307179586,-6.283185307179586,0.0,1.0,0.5,-6.283185307179586,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753929089,0.000666945975392909,57
-4.487989505128276,-6.283185307179586,0.0,1.0,0.5,-4.487989505128276,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.0066694597539290554,0.0006669459753929055,57
-2.6927937030769655,-6.283185307179586,0.0,1.0,0.5,-2.6927937030769655,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753929037,0.0006669459753929038,57
-0.8975979010256552,-6.283185307179586,0.0,1.0,0.5,-0.8975979010256552,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753928858,0.0006669459753928858,57
0.8975979010256552,-6.283185307179586,0.0,1.0,0.5,0.8975979010256552,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753928844,0.0006669459753928844,57
2.6927937030769655,-6.283185307179586,0.0,1.0,0.5,2.6927937030769655,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.0066694597539290485,0.0006669459753929049,57
4.487989505128276,-6.283185307179586,0.0,1.0,0.5,4.487989505128276,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753929052,0.0006669459753929052,57
6.283185307179586,-6.283185307179586,0.0,1.0,0.5,6.283185307179586,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.006669459753929082,0.0006669459753929082,57
-6.283185307179586,-4.487989505128276,0.0,-0.9009688679024189,0.5,-6.283185307179586,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.27176878580876906,0.027176878580876907,179
-4.487989505128276,-4.487989505128276,0.0,-0.9009688679024189,0.5,-4.487989505128276,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.27176878580866776,0.027176878580866776,179
-2.6927937030769655,-4.487989505128276,0.0,-0.9009688679024189,0.5,-2.6927937030769655,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.27176878580834246,0.027176878580834247,179
-0.8975979010256552,-4.487989505128276,0.0,-0.9009688679024189,0.5,-0.8975979010256552,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.2717687858069532,0.02717687858069532,179
0.8975979010256552,-4.487989505128276,0.0,-0.9009688679024189,0.5,0.8975979010256552,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.27176878580693836,0.027176878580693835,179
2.6927937030769655,-4.487989505128276,0.0,-0.9009688679024189,0.5,2.6927937030769655,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.271768785808375,0.027176878580837498,179
4.487989505128276,-4.487989505128276,0.0,-0.9009688679024189,0.5,4.487989505128276,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.27176878580863173,0.02717687858086317,179
6.283185307179586,-4.487989505128276,0.0,-0.9009688679024189,0.5,6.283185307179586,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.2717687858087466,0.02717687858087466,179
-6.283185307179586,-2.6927937030769655,0.0,0.6234898018587334,0.5,-6.283185307179586,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.208975000731309,0.1208975000731309,192
-4.487989505128276,-2.6927937030769655,0.0,0.6234898018587334,0.5,-4.487989505128276,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2089750007320121,0.12089750007320121,192
-2.6927937030769655,-2.6927937030769655,0.0,0.6234898018587334,0.5,-2.6927937030769655,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2089750007336775,0.12089750007336775,192
-0.8975979010256552,-2.6927937030769655,0.0,0.6234898018587334,0.5,-0.8975979010256552,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2089750007416753,0.12089750007416752,192
0.8975979010256552,-2.6927937030769655,0.0,0.6234898018587334,0.5,0.8975979010256552,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.208975000741628,0.1208975000741628,192
2.6927937030769655,-2.6927937030769655,0.0,0.6234898018587334,0.5,2.6927937030769655,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2089750007336366,0.12089750007336367,192
4.487989505128276,-2.6927937030769655,0.0,0.6234898018587334,0.5,4.487989505128276,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2089750007320201,0.12089750007320202,192
