sample,theta,phi,rho,chi,parity_chi,parity_delta,flip_chi,flip_sum,parity_preserves_chi,flip_reverses_chi
base,0.39269908169872414,0.39269908169872414,0.39269908169872414,0.7071067811865475,0.7071067811865475,0.0,-0.7071067811865476,-1.1102230246251565e-16,True,True
offset_positive,0.7,0.19634954084936207,-0.9,0.9238795325112866,0.9238795325112866,0.0,-0.9238795325112867,-1.1102230246251565e-16,True,True
offset_negative,-1.1,1.1780972450961724,1.2,-0.7071067811865475,-0.7071067811865475,0.0,0.7071067811865474,-1.1102230246251565e-16,True,True
