pair,run_a,run_b,status_a,status_b,r_final_a,r_final_b,mass_a,mass_b,mass_abs_diff,tail_max_abs_diff,chi_a,chi_b,chirality_product,same_chirality_sign,sign_reversed
parity_pair,right_handed_base,parity_partner,0,0,20.0,20.0,0.6961232297626876,0.6961150082064491,8.221556238474648e-06,1.6992644258646827e-05,0.7071067811865475,0.7071067811865475,0.4999999999999999,True,False
sheet_mirror_pair,right_handed_sheet,left_handed_sheet,0,0,20.0,20.0,0.8928812067096225,0.8928800953055511,1.1114040713300355e-06,4.0558220278583135e-05,0.7071067811865476,-0.7071067811865477,-0.5000000000000001,False,True
base_mirror_pair,right_handed_base,left_handed_flip,0,0,20.0,20.0,0.6961232297626876,0.6961221532111318,1.0765515557897842e-06,2.2485853117135135e-05,0.7071067811865475,-0.7071067811865476,-0.5,False,True
