phi,chi
-6.283185307179586,1.0
-5.621797380108051,0.24548548714079854
-4.960409453036515,-0.8794737512064894
-4.29902152596498,-0.6772815716257404
-3.6376335988934447,0.546948158122427
-2.9762456718219092,0.9458172417006346
-2.314857744750374,-0.08257934547233185
-1.6534698176788387,-0.9863613034027223
-0.9920818906073032,-0.40169542465296965
-0.33069396353576774,0.7891405093963936
0.33069396353576774,0.7891405093963936
0.9920818906073032,-0.40169542465296965
1.6534698176788378,-0.9863613034027227
2.3148577447503733,-0.08257934547233363
2.976245671821909,0.9458172417006343
3.6376335988934443,0.5469481581224277
4.29902152596498,-0.6772815716257404
4.960409453036515,-0.8794737512064894
5.621797380108051,0.24548548714079854
6.283185307179586,1.0
