theta,phi,rho,chi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count
-6.283185307179586,0.39269908169872414,0.0,0.7071067811865476,0.5,-6.283185307179586,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067283077,0.08928812067283078,203
-5.385587406153931,0.39269908169872414,0.0,0.7071067811865476,0.5,-5.385587406153931,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067282985,0.08928812067282985,203
-4.487989505128276,0.39269908169872414,0.0,0.7071067811865476,0.5,-4.487989505128276,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067282839,0.08928812067282839,203
-3.5903916041026207,0.39269908169872414,0.0,0.7071067811865476,0.5,-3.5903916041026207,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067282648,0.08928812067282647,203
-2.6927937030769655,0.39269908169872414,0.0,0.7071067811865476,0.5,-2.6927937030769655,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067282298,0.08928812067282298,203
-1.7951958020513104,0.39269908169872414,0.0,0.7071067811865476,0.5,-1.7951958020513104,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067281622,0.08928812067281622,203
-0.8975979010256552,0.39269908169872414,0.0,0.7071067811865476,0.5,-0.8975979010256552,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.892881206727959,0.0892881206727959,203
0.0,0.39269908169872414,0.0,0.7071067811865476,0.5,0.0,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067096225,0.08928812067096224,203
0.8975979010256552,0.39269908169872414,0.0,0.7071067811865476,0.5,0.8975979010256552,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067279589,0.08928812067279589,203
1.7951958020513104,0.39269908169872414,0.0,0.7071067811865476,0.5,1.7951958020513104,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067281617,0.08928812067281618,203
2.6927937030769655,0.39269908169872414,0.0,0.7071067811865476,0.5,2.6927937030769655,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067282319,0.08928812067282318,203
3.5903916041026207,0.39269908169872414,0.0,0.7071067811865476,0.5,3.5903916041026207,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067282644,0.08928812067282645,203
4.487989505128276,0.39269908169872414,0.0,0.7071067811865476,0.5,4.487989505128276,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.892881206728285,0.0892881206728285,203
5.385587406153931,0.39269908169872414,0.0,0.7071067811865476,0.5,5.385587406153931,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.892881206728298,0.08928812067282979,203
6.283185307179586,0.39269908169872414,0.0,0.7071067811865476,0.5,6.283185307179586,0.39269908169872414,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8928812067283111,0.08928812067283111,203
