r,a,b,c,d,m,R
0.0101,0.032974409328354735,0.0,0.0,0.0,2.347549865725234e-11,-0.0005533467349652199
0.0201,0.032974397360259984,0.0,0.0,0.0,1.8502785981614335e-10,-0.0005533461947136223
0.030100000000000002,0.032974371651129805,0.0,0.0,0.0,6.213667315564034e-10,-0.0005533456978962885
0.040100000000000004,0.03297433399286261,0.0,0.0,0.0,1.469200975360689e-09,-0.000553344669061803
0.050100000000000006,0.03297428494196587,0.0,0.0,0.0,2.865238328686935e-09,-0.000553343180585234
0.06010000000000001,0.03297422469072042,0.0,0.0,0.0,4.9461850628143035e-09,-0.0005533412492179292
0.07010000000000001,0.032974153322284684,0.0,0.0,0.0,7.848745619091035e-09,-0.0005533388804920021
0.0801,0.03297407087840625,0.0,0.0,0.0,1.1709622243988776e-08,-0.0005533360767669961
0.0901,0.032973977382344616,0.0,0.0,0.0,1.666551462398981e-08,-0.0005533328392220645
0.1001,0.032973872848096386,0.0,0.0,0.0,2.2853119520442283e-08,-0.0005533291685142317
0.11009999999999999,0.032973757284601425,0.0,0.0,0.0,3.040913040441224e-08,-0.0005533250650403797
0.12009999999999998,0.03297363069784972,0.0,0.0,0.0,3.9470237091541115e-08,-0.000553320529055997
0.1301,0.03297349309201719,0.0,0.0,0.0,5.017312537691229e-08,-0.0005533155607344535
0.1401,0.03297334447011527,0.0,0.0,0.0,6.265447666992875e-08,-0.0005533101601988866
0.1501,0.03297318483438087,0.0,0.0,0.0,7.705096762920336e-08,-0.0005533043275404114
0.16010000000000002,0.03297301418652031,0.0,0.0,0.0,9.349926979746293e-08,-0.0005532980628290412
0.17010000000000003,0.03297283252786709,0.0,0.0,0.0,1.1213604923646742e-07,-0.0005532913661205135
0.18010000000000004,0.03297263985948725,0.0,0.0,0.0,1.3309796616194516e-07,-0.0005532842374607047
0.19010000000000005,0.03297243618225136,0.0,0.0,0.0,1.5652167457854556e-07,-0.000553276676888574
0.20010000000000006,0.03297222149688499,0.0,0.0,0.0,1.8254382191481e-07,-0.0005532686844381771
0.21010000000000006,0.03297199580400475,0.0,0.0,0.0,2.1130104865816213e-07,-0.000553260260140076
0.22010000000000007,0.03297175910414451,0.0,0.0,0.0,2.4292998798991907e-07,-0.0005532514040223458
0.23010000000000008,0.03297151139777477,0.0,0.0,0.0,2.7756726542032384e-07,-0.0005532421161113072
0.2401000000000001,0.032971252685317226,0.0,0.0,0.0,3.1534949842360065e-07,-0.0005532323964320679
0.2501000000000001,0.03297098296715577,0.0,0.0,0.0,3.564132960730341e-07,-0.0005532222450089291
0.2601000000000001,0.032970702243645025,0.0,0.0,0.0,4.0089525867607316e-07,-0.0005532116618656926
0.2701000000000001,0.03297041051511697,0.0,0.0,0.0,4.4893197740946103e-07,-0.0005532006470258997
0.2801000000000001,0.0329701077818861,0.0,0.0,0.0,5.006600339543923e-07,-0.0005531892005130149
0.29010000000000014,0.032969794044253584,0.0,0.0,0.0,5.562160001316976e-07,-0.0005531773223505713
0.30010000000000014,0.03296946930251053,0.0,0.0,0.0,6.157364375370588e-07,-0.0005531650125622864
0.31010000000000015,0.032969133556940665,0.0,0.0,0.0,6.793578971762528e-07,-0.0005531522711721519
0.32010000000000016,0.03296878680782248,0.0,0.0,0.0,7.472169191004276e-07,-0.0005531390982045104
0.33010000000000017,0.032968429055431035,0.0,0.0,0.0,8.194500320414112e-07,-0.0005531254936841144
0.3401000000000002,0.032968060300039355,0.0,0.0,0.0,8.96193753047053e-07,-0.000553111457636176
