r,a,b,c,d,m,R
0.0101,1.4277194729338473e-18,0.023316428441700596,0.023316428441700593,-1.4277194729338469e-18,2.3475498657251977e-11,-0.0005533467349652199
0.0201,1.4277189547416375e-18,0.023316419978979586,0.023316419978979583,-1.427718954741637e-18,1.850278598161423e-10,-0.0005533461947136227
0.030100000000000002,1.427717841592778e-18,0.02331640179987913,0.023316401799879125,-1.4277178415927776e-18,6.21366731556403e-10,-0.000553345697896285
0.040100000000000004,1.4277162110725238e-18,0.023316375171462587,0.023316375171462584,-1.4277162110725234e-18,1.4692009753606968e-09,-0.0005533446690617865
0.050100000000000006,1.4277140872764119e-18,0.023316340487239944,0.02331634048723994,-1.4277140872764115e-18,2.8652383286869837e-09,-0.0005533431805851827
0.06010000000000001,1.4277114785297637e-18,0.023316297883174023,0.02331629788317402,-1.4277114785297633e-18,4.946185062814489e-09,-0.0005533412492178036
0.07010000000000001,1.4277083884331367e-18,0.023316247418066382,0.02331624741806638,-1.4277083884331363e-18,7.84874561909159e-09,-0.0005533388804917426
0.0801,1.4277048187940871e-18,0.023316189121436657,0.023316189121436653,-1.4277048187940868e-18,1.1709622243990189e-08,-0.0005533360767665172
0.0901,1.4277007706196742e-18,0.023316123009731377,0.023316123009731373,-1.4277007706196738e-18,1.6665514623993008e-08,-0.000553332839221252
0.1001,1.4276962445158916e-18,0.023316049092847166,0.023316049092847162,-1.4276962445158912e-18,2.2853119520448904e-08,-0.0005533291685129386
0.11009999999999999,1.4276912408697845e-18,0.023315967377104955,0.02331596737710495,-1.4276912408697841e-18,3.0409130404424986e-08,-0.0005533250650384221
0.12009999999999998,1.4276857599406725e-18,0.02331587786673975,0.023315877866739748,-1.4276857599406721e-18,3.947023709156424e-08,-0.0005533205290531515
0.1301,1.4276798019093275e-18,0.02331578056470378,0.023315780564703778,-1.427679801909327e-18,5.0173125376952226e-08,-0.000553315560730454
0.1401,1.4276733669060988e-18,0.023315675473125814,0.02331567547312581,-1.4276733669060984e-18,6.265447666999489e-08,-0.0005533101601934202
0.1501,1.4276664550277997e-18,0.02331556259358693,0.023315562593586928,-1.4276664550277993e-18,7.705096762930901e-08,-0.0005533043275331166
0.16010000000000002,1.4276590663482659e-18,0.02331544192729296,0.023315441927292957,-1.4276590663482655e-18,9.34992697976265e-08,-0.000553298062819505
0.17010000000000003,1.4276512009251913e-18,0.023315313475186113,0.02331531347518611,-1.427651200925191e-18,1.1213604923671374e-07,-0.0005532913661082688
0.18010000000000004,1.4276428588046855e-18,0.02331517723801942,0.023315177238019416,-1.4276428588046851e-18,1.3309796616230716e-07,-0.0005532842374452285
0.19010000000000005,1.4276340400243941e-18,0.02331503321640768,0.023315033216407675,-1.4276340400243937e-18,1.5652167457906607e-07,-0.0005532766768692844
0.20010000000000006,1.4276247446156827e-18,0.023314881410863127,0.023314881410863124,-1.4276247446156823e-18,1.8254382191554387e-07,-0.0005532686844144325
0.21010000000000006,1.4276149726051979e-18,0.023314721821820938,0.023314721821820934,-1.4276149726051975e-18,2.113010486591787e-07,-0.0005532602601111722
0.22010000000000007,1.4276047240160022e-18,0.02331455444965775,0.023314554449657746,-1.4276047240160019e-18,2.4292998799130476e-07,-0.000553251403987515
0.23010000000000008,1.4275939988684136e-18,0.02331437929470538,0.023314379294705378,-1.4275939988684132e-18,2.7756726542218504e-07,-0.0005532421160697177
0.2401000000000001,1.4275827971806348e-18,0.02331419635726111,0.023314196357261105,-1.4275827971806344e-18,3.153494984260671e-07,-0.0005532323963828212
0.2501000000000001,1.4275711189692324e-18,0.02331400563759548,0.023314005637595475,-1.427571118969232e-18,3.564132960762624e-07,-0.0005532222449510596
0.2601000000000001,1.4275589642495042e-18,0.023313807135958327,0.023313807135958323,-1.4275589642495038e-18,4.0089525868025047e-07,-0.0005532116617981674
0.2701000000000001,1.4275463330357667e-18,0.02331360085258346,0.023313600852583456,-1.4275463330357663e-18,4.489319774148092e-07,-0.0005532006469476171
0.2801000000000001,1.4275332253415792e-18,0.023313386787692316,0.023313386787692313,-1.4275332253415788e-18,5.006600339611721e-07,-0.0005531892004228049
0.29010000000000014,1.4275196411799233e-18,0.023313164941496902,0.0233131649414969,-1.4275196411799229e-18,5.562160001402136e-07,-0.0005531773222471947
0.30010000000000014,1.4275055805633449e-18,0.02331293531420211,0.023312935314202105,-1.4275055805633445e-18,6.157364375476635e-07,-0.0005531650124444348
0.31010000000000015,1.4274910435040703e-18,0.023312697906007603,0.0233126979060076,-1.4274910435040699e-18,6.79357897189352e-07,-0.0005531522710384482
0.32010000000000016,1.4274760300140993e-18,0.023312452717109362,0.02331245271710936,-1.4274760300140989e-18,7.472169191164854e-07,-0.0005531390980535088
0.33010000000000017,1.4274605401052824e-18,0.023312199747700914,0.02331219974770091,-1.427460540105282e-18,8.194500320609552e-07,-0.0005531254935143013
0.3401000000000002,1.4274445737893833e-18,0.023311938997974378,0.023311938997974374,-1.427444573789383e-18,8.961937530706792e-07,-0.00055311145744597
0.3501000000000002,1.427428131078132e-18,0.023311670468121316,0.023311670468121312,-1.4274281310781316e-18,9.775845871449789e-07,-0.0005530969898741606
0.3601000000000002,1.427411211983268e-18,0.02331139415833345,0.023311394158333446,-1.4274112119832675e-18,1.063759026869991e-06,-0.0005530820908250535
0.3701000000000002,1.4273938165165766e-18,0.023311110068803254,0.02331111006880325,-1.4273938165165762e-18,1.1548535520541167e-06,-0.0005530667603253919
0.3801000000000002,1.427375944689921e-18,0.023310818199724463,0.02331081819972446,-1.4273759446899207e-18,1.251004629363508e-06,-0.0005530509984025059
0.3901000000000002,1.4273575965152674e-18,0.0233105185512925,0.023310518551292497,-1.427357596515267e-18,1.3523487119575927e-06,-0.0005530348050843319
0.40010000000000023,1.427338772004707e-18,0.023310211123704832,0.02331021112370483,-1.4273387720047067e-18,1.4590222391246411e-06,-0.0005530181803994298
0.41010000000000024,1.4273194711704758e-18,0.023309895917161285,0.02330989591716128,-1.4273194711704754e-18,1.571161635917371e-06,-0.000553001124376998
0.42010000000000025,1.4272996940249703e-18,0.023309572931864312,0.02330957293186431,-1.42729969402497e-18,1.6889033127885961e-06,-0.000552983637046884
0.43010000000000026,1.4272794405807619e-18,0.023309242168019217,0.023309242168019214,-1.4272794405807615e-18,1.8123836652269186e-06,-0.0005529657184395966
0.44010000000000027,1.427258710850609e-18,0.023308903625834362,0.02330890362583436,-1.4272587108506086e-18,1.941739073392463e-06,-0.0005529473685863147
0.4501000000000003,1.4272375048474672e-18,0.023308557305521328,0.023308557305521324,-1.4272375048474669e-18,2.077105901752659e-06,-0.0005529285875188938
0.4601000000000003,1.427215822584499e-18,0.023308203207295073,0.02330820320729507,-1.4272158225844986e-18,2.218620498718068e-06,-0.0005529093752698749
0.4701000000000003,1.4271936640750812e-18,0.023307841331374063,0.02330784133137406,-1.4271936640750808e-18,2.3664191962782555e-06,-0.0005528897318724892
0.4801000000000003,1.4271710293328126e-18,0.023307471677980376,0.023307471677980373,-1.4271710293328122e-18,2.5206383096377184e-06,-0.000552869657360663
0.4901000000000003,1.4271479183715198e-18,0.023307094247339823,0.02330709424733982,-1.4271479183715194e-18,2.6814141368518533e-06,-0.0005528491517690235
0.5001000000000003,1.4271243312052628e-18,0.023306709039682016,0.023306709039682013,-1.4271243312052624e-18,2.848882958462983e-06,-0.000552828215132902
0.5101000000000003,1.4271002678483396e-18,0.023306316055240462,0.02330631605524046,-1.4271002678483393e-18,3.023181037136429e-06,-0.0005528068474883373
0.5201000000000003,1.4270757283152909e-18,0.023305915294252626,0.023305915294252622,-1.4270757283152905e-18,3.2044446172966396e-06,-0.0005527850488720796
0.5301000000000003,1.4270507126209034e-18,0.02330550675696,0.023305506756959995,-1.427050712620903e-18,3.3928099247633723e-06,-0.0005527628193215922
0.5401000000000004,1.4270252207802138e-18,0.02330509044360814,0.023305090443608137,-1.4270252207802134e-18,3.588413166387928e-06,-0.0005527401588750555
0.5501000000000004,1.4269992528085112e-18,0.023304666354446748,0.023304666354446744,-1.4269992528085108e-18,3.7913905296894442e-06,-0.0005527170675713678
0.5601000000000004,1.4269728087213405e-18,0.023304234489729687,0.023304234489729684,-1.4269728087213402e-18,4.001878182491244e-06,-0.0005526935454501478
0.5701000000000004,1.4269458885345043e-18,0.023303794849715034,0.02330379484971503,-1.426945888534504e-18,4.220012272557243e-06,-0.0005526695925517367
0.5801000000000004,1.4269184922640655e-18,0.023303347434665115,0.02330334743466511,-1.4269184922640651e-18,4.445928927228416e-06,-0.0005526452089171992
0.5901000000000004,1.4268906199263493e-18,0.023302892244846538,0.023302892244846534,-1.4268906199263489e-18,4.679764253059319e-06,-0.0005526203945883258
0.6001000000000004,1.4268622715379444e-18,0.02330242928053022,0.023302429280530217,-1.426862271537944e-18,4.921654335454685e-06,-0.0005525951496076329
0.6101000000000004,1.4268334471157057e-18,0.02330195854199142,0.023301958541991418,-1.4268334471157053e-18,5.1717352383060644e-06,-0.0005525694740183653
0.6201000000000004,1.426804146676755e-18,0.023301480029509762,0.02330148002950976,-1.4268041466767545e-18,5.430143003628545e-06,-0.0005525433678644964
0.6301000000000004,1.4267743702384822e-18,0.023300993743369244,0.02330099374336924,-1.4267743702384818e-18,5.697013651197527e-06,-0.0005525168311907295
0.6401000000000004,1.4267441178185477e-18,0.023300499683858278,0.023300499683858274,-1.4267441178185473e-18,5.972483178185564e-06,-0.0005524898640424985
0.6501000000000005,1.426713389434882e-18,0.0232999978512697,0.023299997851269696,-1.4267133894348816e-18,6.256687558799277e-06,-0.0005524624664659694
0.6601000000000005,1.4266821851056883e-18,0.023299488245900783,0.02329948824590078,-1.426682185105688e-18,6.549762743916326e-06,-0.0005524346385080398
0.6701000000000005,1.4266505048494423e-18,0.023298970868053256,0.023298970868053253,-1.4266505048494419e-18,6.851844660722458e-06,-0.00055240638021634
0.6801000000000005,1.4266183486848935e-18,0.023298445718033328,0.023298445718033325,-1.4266183486848931e-18,7.163069212348624e-06,-0.0005523776916392353
0.6901000000000005,1.4265857166310662e-18,0.023297912796151687,0.023297912796151683,-1.4265857166310658e-18,7.483572277508163e-06,-0.0005523485728258239
0.7001000000000005,1.42655260870726e-18,0.02329737210272352,0.023297372102723517,-1.4265526087072596e-18,7.813489710134058e-06,-0.0005523190238259393
0.7101000000000005,1.4265190249330506e-18,0.023296823638068523,0.02329682363806852,-1.4265190249330502e-18,8.152957339016272e-06,-0.0005522890446901502
0.7201000000000005,1.4264849653282906e-18,0.023296267402510912,0.02329626740251091,-1.4264849653282903e-18,8.502110967439147e-06,-0.0005522586354697609
0.7301000000000005,1.42645042991311e-18,0.023295703396379434,0.02329570339637943,-1.4264504299131095e-18,8.861086372818886e-06,-0.0005522277962168116
0.7401000000000005,1.4264154187079166e-18,0.023295131620007375,0.023295131620007372,-1.4264154187079162e-18,9.230019306341107e-06,-0.0005521965269840794
0.7501000000000005,1.4263799317333968e-18,0.023294552073732572,0.02329455207373257,-1.4263799317333964e-18,9.609045492598479e-06,-0.0005521648278250783
0.7601000000000006,1.426343969010516e-18,0.023293964757897415,0.023293964757897412,-1.4263439690105157e-18,9.998300629228427e-06,-0.000552132698794059
0.7701000000000006,1.4263075305605193e-18,0.02329336967284886,0.023293369672848858,-1.426307530560519e-18,1.0397920386550928e-05,-0.0005521001399460099
0.7801000000000006,1.4262706164049315e-18,0.023292766818938437,0.023292766818938434,-1.4262706164049311e-18,1.0808040407206376e-05,-0.0005520671513366577
0.7901000000000006,1.4262332265655578e-18,0.023292156196522248,0.023292156196522244,-1.4262332265655574e-18,1.1228796305793535e-05,-0.0005520337330224665
0.8001000000000006,1.4261953610644843e-18,0.023291537805960986,0.023291537805960983,-1.426195361064484e-18,1.1660323668507572e-05,-0.0005519998850606389
0.8101000000000006,1.426157019924078e-18,0.023290911647619938,0.023290911647619934,-1.4261570199240777e-18,1.2102758052778178e-05,-0.0005519656075091167
