label,omega,theta,phi,rho,success,final_mass,integrated_abs_ricci,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width,theta_total_shift,phi_total_shift,rho_total_shift
phi_slice_00,0.5,3.141592653589793,-6.283185307179586,1.5707963267948966,True,0.12553663276310642,0.016997800219404554,11.610999999999796,18.271000000000058,11.070999999999808,18.35100000000007,0.001,3.9709999999999592,20.000000000000327,-1.0861673251320236,-0.3446866790927565,1.0861673251320223
phi_slice_01,0.5,3.141592653589793,-4.71238898038469,1.5707963267948966,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
phi_slice_02,0.5,3.141592653589793,-3.141592653589793,1.5707963267948966,True,0.12553663276310711,0.016997800219404592,11.610999999999796,18.271000000000058,11.070999999999808,18.35100000000007,0.001,3.9709999999999592,20.000000000000327,-1.0861673251320316,-0.3446866790927565,1.0861673251320303
phi_slice_03,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
phi_slice_04,0.5,3.141592653589793,0.0,1.5707963267948966,True,0.12553663276310684,0.01699780021940457,11.610999999999796,18.271000000000058,11.070999999999808,18.35100000000007,0.001,3.9709999999999592,20.000000000000327,-1.0861673251320276,-0.3446866790927579,1.0861673251320263
phi_slice_05,0.5,3.141592653589793,1.5707963267948966,1.5707963267948966,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
phi_slice_06,0.5,3.141592653589793,3.141592653589793,1.5707963267948966,True,0.12553663276310717,0.016997800219404592,11.610999999999796,18.271000000000058,11.070999999999808,18.35100000000007,0.001,3.9709999999999592,20.000000000000327,-1.0861673251320316,-0.3446866790927561,1.0861673251320303
phi_slice_07,0.5,3.141592653589793,4.71238898038469,1.5707963267948966,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
phi_slice_08,0.5,3.141592653589793,6.283185307179586,1.5707963267948966,True,0.12553663276310648,0.016997800219404557,11.610999999999796,18.271000000000058,11.070999999999808,18.35100000000007,0.001,3.9709999999999592,20.000000000000327,-1.0861673251320254,-0.34468667909275563,1.0861673251320236
