r,a,b,c,d,m,R
0.0101,0.03297440932835475,0.0,0.0,0.0,2.3475498657251977e-11,-0.0005533467349652199
0.0201,0.03297439736025992,0.0,0.0,0.0,1.850278598161423e-10,-0.0005533461947136226
0.030100000000000002,0.0329743716511295,0.0,0.0,0.0,6.21366731556403e-10,-0.000553345697896285
0.040100000000000004,0.03297433399286168,0.0,0.0,0.0,1.4692009753606964e-09,-0.0005533446690617863
0.050100000000000006,0.032974284941963625,0.0,0.0,0.0,2.865238328686983e-09,-0.0005533431805851824
0.06010000000000001,0.03297422469071579,0.0,0.0,0.0,4.946185062814488e-09,-0.0005533412492178036
0.07010000000000001,0.032974153322276135,0.0,0.0,0.0,7.848745619091588e-09,-0.0005533388804917426
0.0801,0.03297407087839174,0.0,0.0,0.0,1.1709622243990189e-08,-0.0005533360767665171
0.0901,0.0329739773823215,0.0,0.0,0.0,1.6665514623993008e-08,-0.0005533328392212522
0.1001,0.032973872848061365,0.0,0.0,0.0,2.2853119520448907e-08,-0.0005533291685129386
0.11009999999999999,0.03297375728455047,0.0,0.0,0.0,3.040913040442499e-08,-0.0005533250650384224
0.12009999999999998,0.03297363069777803,0.0,0.0,0.0,3.947023709156425e-08,-0.0005533205290531518
0.1301,0.03297349309191911,0.0,0.0,0.0,5.017312537695224e-08,-0.0005533155607304541
0.1401,0.03297334446998426,0.0,0.0,0.0,6.265447666999491e-08,-0.0005533101601934204
0.1501,0.032973184834209454,0.0,0.0,0.0,7.705096762930905e-08,-0.0005533043275331167
0.16010000000000002,0.0329730141863,0.0,0.0,0.0,9.349926979762654e-08,-0.0005532980628195052
0.17010000000000003,0.03297283252758838,0.0,0.0,0.0,1.1213604923671378e-07,-0.0005532913661082689
0.18010000000000004,0.03297263985913955,0.0,0.0,0.0,1.330979661623072e-07,-0.0005532842374452287
0.19010000000000005,0.032972436181822946,0.0,0.0,0.0,1.5652167457906615e-07,-0.0005532766768692848
0.20010000000000006,0.032972221496363,0.0,0.0,0.0,1.8254382191554395e-07,-0.0005532686844144326
0.21010000000000006,0.032971995803375134,0.0,0.0,0.0,2.1130104865917878e-07,-0.0005532602601111724
0.22010000000000007,0.03297175910339199,0.0,0.0,0.0,2.4292998799130486e-07,-0.0005532514039875155
0.23010000000000008,0.032971511396882834,0.0,0.0,0.0,2.775672654221852e-07,-0.0005532421160697181
0.2401000000000001,0.03297125268426808,0.0,0.0,0.0,3.1534949842606727e-07,-0.0005532323963828215
0.2501000000000001,0.03297098296593033,0.0,0.0,0.0,3.564132960762626e-07,-0.00055322224495106
0.2601000000000001,0.03297070224222292,0.0,0.0,0.0,4.008952586802507e-07,-0.0005532116617981678
0.2701000000000001,0.03297041051347649,0.0,0.0,0.0,4.489319774148094e-07,-0.0005532006469476176
0.2801000000000001,0.032970107780004206,0.0,0.0,0.0,5.006600339611723e-07,-0.0005531892004228052
0.29010000000000014,0.032969794042105885,0.0,0.0,0.0,5.562160001402138e-07,-0.0005531773222471951
0.30010000000000014,0.032969469300071295,0.0,0.0,0.0,6.157364375476638e-07,-0.0005531650124444349
0.31010000000000015,0.03296913355418281,0.0,0.0,0.0,6.793578971893523e-07,-0.0005531522710384483
0.32010000000000016,0.03296878680471757,0.0,0.0,0.0,7.472169191164858e-07,-0.000553139098053509
0.33010000000000017,0.03296842905194928,0.0,0.0,0.0,8.194500320609555e-07,-0.0005531254935143013
0.3401000000000002,0.032968060296149626,0.0,0.0,0.0,8.961937530706795e-07,-0.0005531114574459701
0.3501000000000002,0.03296768053758953,0.0,0.0,0.0,9.77584587144979e-07,-0.0005530969898741607
0.3601000000000002,0.032967289776540114,0.0,0.0,0.0,1.0637590268699913e-06,-0.0005530820908250537
0.3701000000000002,0.03296688801327358,0.0,0.0,0.0,1.154853552054117e-06,-0.0005530667603253922
0.3801000000000002,0.03296647524806392,0.0,0.0,0.0,1.2510046293635081e-06,-0.0005530509984025062
0.3901000000000002,0.03296605148118749,0.0,0.0,0.0,1.352348711957593e-06,-0.0005530348050843322
0.40010000000000023,0.03296561671292356,0.0,0.0,0.0,1.4590222391246413e-06,-0.00055301818039943
0.41010000000000024,0.03296517094355472,0.0,0.0,0.0,1.5711616359173711e-06,-0.0005530011243769981
0.42010000000000025,0.03296471417336729,0.0,0.0,0.0,1.6889033127885963e-06,-0.0005529836370468842
0.43010000000000026,0.032964246402651616,0.0,0.0,0.0,1.8123836652269188e-06,-0.0005529657184395965
0.44010000000000027,0.03296376763170236,0.0,0.0,0.0,1.9417390733924636e-06,-0.0005529473685863146
0.4501000000000003,0.03296327786081874,0.0,0.0,0.0,2.0771059017526596e-06,-0.0005529285875188938
0.4601000000000003,0.03296277709030476,0.0,0.0,0.0,2.2186204987180682e-06,-0.0005529093752698748
0.4701000000000003,0.03296226532046937,0.0,0.0,0.0,2.366419196278256e-06,-0.0005528897318724891
0.4801000000000003,0.03296174255162664,0.0,0.0,0.0,2.5206383096377184e-06,-0.0005528696573606628
0.4901000000000003,0.03296120878409592,0.0,0.0,0.0,2.6814141368518533e-06,-0.0005528491517690235
0.5001000000000003,0.03296066401820192,0.0,0.0,0.0,2.848882958462983e-06,-0.0005528282151329019
0.5101000000000003,0.032960108254274874,0.0,0.0,0.0,3.023181037136429e-06,-0.0005528068474883374
0.5201000000000003,0.03295954149265061,0.0,0.0,0.0,3.2044446172966396e-06,-0.0005527850488720796
0.5301000000000003,0.03295896373367064,0.0,0.0,0.0,3.3928099247633723e-06,-0.0005527628193215924
0.5401000000000004,0.032958374977682246,0.0,0.0,0.0,3.588413166387928e-06,-0.0005527401588750558
0.5501000000000004,0.03295777522503855,0.0,0.0,0.0,3.7913905296894442e-06,-0.0005527170675713681
0.5601000000000004,0.032957164476098574,0.0,0.0,0.0,4.001878182491245e-06,-0.0005526935454501481
