r,w,theta,phi,rho,w_prime,theta_prime,phi_prime,rho_prime,m,Phi,qnorm,ricci,energy_density,radial_pressure,tangential_pressure,kinetic_density,directional_potential
0.001,-3.449523005428146,2.748893571891069,-1.3744467859455345,1.3744467859455345,0.0,0.0,0.0,0.0,2.92675045925061e-14,0.0,0.03176078248631887,0.0007024201102201464,6.987102041793141e-06,-6.987102041793141e-06,-6.987102041793141e-06,0.0,1.940821593267804e-06
0.011,-3.449523569901484,2.7488935553926614,-1.374447550343815,1.3744468024439422,-2.4258273999658368e-05,-7.090444260742644e-07,-3.28506997636577e-05,7.090444260742644e-07,3.895539941291339e-11,-3.27410901793755e-09,0.031760764558209024,0.0007024179029504307,6.9870805065803e-06,-6.987078822960162e-06,-6.9870805065803e-06,1.6836201501865045e-12,1.9408049160951686e-06
0.020999999999999998,-3.449524181027239,2.74889353753064,-1.3744483779204584,1.3744468203059637,-8.91690354833892e-05,-2.6062276979499167e-06,-0.00012075105313662224,2.6062276979499167e-06,2.7104583902791274e-10,-1.2619642226831626e-08,0.031760745148393735,0.0007024159968525,6.98706681234882e-06,-6.9870440644276855e-06,-6.98706681234882e-06,2.274792172092897e-11,1.940786860635659e-06
0.031,-3.449525329297983,2.7488935039691516,-1.374449932886083,1.3744468538674517,-0.00013956842470353787,-4.079276036326935e-06,-0.00018900074306327144,4.079276036326935e-06,8.719033813146031e-10,-2.783313482905725e-08,0.03176070867848021,0.000702412249639775,6.987037783564278e-06,-6.986982053924315e-06,-6.987037783564278e-06,5.572964309817693e-11,1.9407529357857333e-06
0.041,-3.449526964737904,2.7488934561689917,-1.37445214756535,1.3744469016676113,-0.00018729293388584255,-5.474129099105497e-06,-0.00025362822416101196,5.474129099105497e-06,2.0171266772031474e-09,-4.890292412733854e-08,0.031760656735791794,0.0007024068537252522,6.986995266559961e-06,-6.986894908320058e-06,-6.986995266559961e-06,1.003582497779572e-10,1.940704618475459e-06
0.051000000000000004,-3.449529072631977,2.7488933945604352,-1.3744550020316426,1.3744469632761678,-0.0002342039843890531,-6.84518433053686e-06,-0.00031715413074167806,6.84518433053686e-06,3.88230861043241e-09,-7.582659567119343e-08,0.031760589787762264,0.0007023998751796119,6.986939991796351e-06,-6.98678306510233e-06,-6.986939991796351e-06,1.5692671791320466e-10,1.9406423440451197e-06
0.061000000000000006,-3.44953164776772,2.748893319296086,-1.374458489226136,1.3744470385405172,-0.00028078648216328786,-8.206608210322308e-06,-0.00038023508935184616,8.206608210322308e-06,6.643034513754114e-09,-1.0860315135248059e-07,0.031760508000037595,0.0007023913379501654,6.986872228234636e-06,-6.98664667022079e-06,-6.986872228234636e-06,2.2555806297364718e-10,1.940566267256844e-06
0.07100000000000001,-3.449534687849444,2.7488932304433558,-1.3744626060396978,1.3744471273932475,-0.0003272109519015522,-9.563378923910586e-06,-0.0004431020077569828,9.563378923910586e-06,1.0474880332775109e-08,-1.4723189582362392e-07,0.03176041144564444,0.0007023812526954783,6.986792095912562e-06,-6.986485787653068e-06,-6.986792095912562e-06,3.0630834987671704e-10,1.9404764568648296e-06
0.081,-3.4495381917067336,2.748893128036826,-1.3744673508869036,1.3744472297997774,-0.000373549717092411,-1.09176045726704e-05,-0.0005058528147871671,1.09176045726704e-05,1.5553410786713946e-08,-1.9171218057007444e-07,0.031760300161890236,0.0007023696249063659,6.986699656487533e-06,-6.98630045089954e-06,-6.986699656487533e-06,3.992057413025167e-10,1.9403729485441617e-06
0.091,-3.449542158676831,2.7488930120962967,-1.3744727228696942,1.3744473457403064,-0.00041983764371946375,-1.22702985043345e-05,-0.0005685347162667639,1.22702985043345e-05,2.2054177528939836e-08,-2.420433263208081e-07,0.031760174169979116,0.0007023564577385772,6.986594945107743e-06,-6.9860906800788825e-06,-6.986594945107743e-06,5.042652732817345e-10,1.94025576313769e-06
0.10099999999999999,-3.4495465883528564,2.7488928826341477,-1.374478721436429,1.3744474752024556,-0.00046609317645967256,-1.36219941287274e-05,-0.0006311726811187668,1.36219941287274e-05,3.015271730772227e-08,-2.982245947686119e-07,0.031760033483008626,0.0007023417531737423,6.986477983527556e-06,-6.985856488774571e-06,-6.986477983527556e-06,6.214951240696175e-10,1.94012491409459e-06
0.11099999999999999,-3.449551480467913,2.7488927396587224,-1.3744853462249442,1.3744476181778809,-0.0005123267797863104,-1.4972991622092587e-05,-0.0006937808718537432,1.4972991622092587e-05,4.002455012731723e-08,-3.602551768040485e-07,0.031759878109650676,0.0007023255125552789,6.9863487861747125e-06,-6.985597887156272e-06,-6.9863487861747125e-06,7.508995599612491e-10,1.9399804108943896e-06
0.12099999999999998,-3.449556834836606,2.74889258317604,-1.3744925969833641,1.3744477746605632,-0.000558544718892695,-1.6323468430434676e-05,-0.0007563677644905558,1.6323468430434676e-05,5.1845177409457744e-08,-4.2813418710689133e-07,0.0317597080560089,0.0007023077368592492,6.986207363220673e-06,-6.985314883545886e-06,-6.986207363220673e-06,8.924804395941457e-10,1.9398222607746564e-06
0.13099999999999998,-3.449562651323332,2.748892413190721,-1.3745004735271573,1.3744479446458824,-0.0006047509045519944,-1.7673533188397844e-05,-0.0008189386467620664,1.7673533188397844e-05,6.579008015530184e-08,-5.018606614606934e-07,0.031759523326625815,0.0007022884268413902,6.986053722248611e-06,-6.985007485263704e-06,-6.986053722248611e-06,1.0462380357783225e-09,1.939650469667865e-06
0.141,-3.4495689298240575,2.7488922297065193,-1.3745089757144615,1.3744481281300842,-0.0006509478572658346,-1.902325389800207e-05,-0.0008814969237086035,1.902325389800207e-05,8.203471710788645e-08,-5.814335553370142e-07,0.03175932392506153,0.0007022675831216534,6.985887869213001e-06,-6.9846756991134044e-06,-6.985887869213001e-06,1.2121715100957516e-09,1.939465042739702e-06
0.151,-3.449575670255334,2.748892032726644,-1.37451810343121,1.3744483251099593,-0.0006971372403699782,-2.037267350948736e-05,-0.0009440448395760812,2.037267350948736e-05,1.00754522915134e-07,-6.668517431141964e-07,0.03175910985424269,0.0007022452062351894,6.985709809018527e-06,-6.984319531673888e-06,-6.985709809018527e-06,1.3902791999619297e-09,1.939265984713521e-06
0.161,-3.44958287254741,2.7488918222539613,-1.3745278565817989,1.3744485355826421,-0.0007433201690487341,-2.1721818952746984e-05,-0.001006583896261691,2.1721818952746984e-05,1.2212490629345826e-07,-7.581140176323448e-07,0.031758881116681174,0.000702221296664342,6.985519545883484e-06,-6.983938989482128e-06,-6.985519545883484e-06,1.5805587991892166e-09,1.9390533000739055e-06
0.171,-3.4495905366397537,2.7488915982911233,-1.37453823508303,1.3744487595454802,-0.0007894973967860106,-2.3070706586659087e-05,-0.001069115105790853,2.3070706586659087e-05,1.4632124819201501e-07,-8.552190899356266e-07,0.03175863771461629,0.0007021958548594223,6.9853170835757775e-06,-6.983534079151707e-06,-6.9853170835757775e-06,1.7830074754377757e-09,1.938826993198765e-06
0.18100000000000002,-3.4495986624780666,2.7488913608406573,-1.37454923886006,1.3744489969959461,-0.000835669431817947,-2.4419345602607443e-05,-0.0011316391480060534,2.4419345602607443e-05,1.7351889995764376e-07,-9.581655891236996e-07,0.03175837965010968,0.0007021688812525988,6.985102425570762e-06,-6.983104807452007e-06,-6.985102425570762e-06,1.997621948868376e-09,1.938587068447653e-06
0.19100000000000003,-3.4496072500122295,2.748891109905025,-1.3745608678436223,1.3744492479315782,-0.0008818366120857932,-2.5767740215108642e-05,-0.0011941564720589469,2.5767740215108642e-05,2.038931815005459e-07,-1.0669520622693466e-06,0.031758106925110496,0.0007021403762674227,6.984875575159494e-06,-6.9826511813624275e-06,-6.984875575159494e-06,2.224398546172358e-09,1.938333530222303e-06
0.20100000000000004,-3.449616299194866,2.748890845486665,-1.3745731219680781,1.3744495123499385,-0.0009279991547692047,-2.7115891109513196e-05,-0.0012566673634806182,2.7115891109513196e-05,2.3761937946074527e-07,-1.1815769743778395e-06,0.03175781954150103,0.0007021103403255099,6.984636535524687e-06,-6.9821732081103905e-06,-6.984636535524687e-06,2.463333238532656e-09,1.938066383009091e-06
0.21100000000000005,-3.449625809980312,2.7488905675880213,-1.3745860011700215,1.3744497902485822,-0.0009741571897956263,-2.846379642138343e-05,-0.0013191719895531292,2.846379642138343e-05,2.7487274537537676e-07,-1.3020387083735987e-06,0.03175751750112947,0.0007020787738513216,6.984385309795073e-06,-6.981670895198469e-06,-6.984385309795073e-06,2.7144216688364766e-09,1.9377856314093837e-06
0.22100000000000006,-3.449635782323866,2.7488902762115672,-1.3745995053872633,1.374450081625036,-0.001020310782987625,-2.9811452413024693e-05,-0.0013816704306493332,2.9811452413024693e-05,3.158284938468481e-07,-1.4283355651053712e-06,0.03175720080583362,0.0007020456772756453,6.984121901084994e-06,-6.98114425042413e-06,-6.984121901084994e-06,2.977659171539106e-09,1.937491280161643e-06
0.23100000000000007,-3.449646216181234,2.7488899713598207,-1.374613634558078,1.3744503864767823,-0.0010664599523549367,-3.1158853949660424e-05,-0.0014441627022896304,3.1158853949660424e-05,3.6066180071192136e-07,-1.5604657633644591e-06,0.031756869457458634,0.0007020110510381712,6.983846312523715e-06,-6.9805932818942984e-06,-6.983846312523715e-06,3.253040787403622e-09,1.9371833341577617e-06
0.24100000000000008,-3.449657111508113,2.7488896530353566,-1.3746283886206387,1.3744507048012462,-0.001112604679757236,-3.250599484030959e-05,-0.0015066487709300095,3.250599484030959e-05,4.0954780121175885e-07,-1.698427439912498e-06,0.031756523457870126,0.000701974895589424,6.9835585472774135e-06,-6.980017998036246e-06,-6.9835585472774135e-06,3.5405612746041143e-09,1.936861798455311e-06
