success,reason,m,r,omega
True,completed,0.03976236074613077,20.00010000000033,0.0
True,completed,0.04873403820411986,20.00010000000033,0.10204081632653061
True,completed,0.05972215492177361,20.00010000000033,0.20408163265306123
True,completed,0.07317630600787145,20.00010000000033,0.30612244897959184
True,completed,0.08964478785968591,20.00010000000033,0.40816326530612246
True,completed,0.10979570374322718,20.00010000000033,0.5102040816326531
True,completed,0.13444245970039378,20.00010000000033,0.6122448979591837
True,completed,0.1645746170326124,20.00010000000033,0.7142857142857143
True,completed,0.20139537982088931,20.00010000000033,0.8163265306122449
True,completed,0.24636748314258688,20.00010000000033,0.9183673469387755
True,completed,0.3012700213593747,20.00010000000033,1.0204081632653061
True,completed,0.36826998518859033,20.00010000000033,1.1224489795918369
True,completed,0.45001420543801385,20.00010000000033,1.2244897959183674
True,completed,0.549750365621864,20.00010000000033,1.3265306122448979
True,completed,0.6714901832023802,20.00010000000033,1.4285714285714286
True,completed,0.8202343132041577,20.00010000000033,1.5306122448979593
True,completed,1.0022876236641642,20.00010000000033,1.6326530612244898
True,completed,1.2257058174510862,20.00010000000033,1.7346938775510203
True,completed,1.5009300366120297,20.00010000000033,1.836734693877551
True,completed,1.8416833758516022,20.00010000000033,1.9387755102040818
True,completed,2.266215375592198,20.00010000000033,2.0408163265306123
True,completed,2.7989699065449667,20.00010000000033,2.142857142857143
True,completed,3.4726859930825658,20.00010000000033,2.2448979591836737
True,completed,4.330793382640991,20.00010000000033,2.3469387755102042
True,completed,5.429803410093484,20.00010000000033,2.4489795918367347
True,completed,6.841507343629666,20.00010000000033,2.5510204081632653
True,completed,8.655473155633596,20.00010000000033,2.6530612244897958
False,horizon,9.43166897279731,18.860100000000152,2.7551020408163267
False,horizon,8.170470704574223,16.340099999999758,2.857142857142857
False,horizon,1.872284825514649e+30,14.26009999999974,2.9591836734693877
False,horizon,6.247212161048157,12.490099999999778,3.0612244897959187
False,horizon,1.1800295858621673e+27,10.98009999999981,3.163265306122449
False,horizon,9.465751044048931e+16,9.660099999999838,3.2653061224489797
False,horizon,4.251726700051629,8.500099999999863,3.36734693877551
False,horizon,3.742409300283794,7.480099999999885,3.4693877551020407
False,horizon,2608780143654.4062,6.580099999999904,3.5714285714285716
False,horizon,3.996068657453634e+19,5.770099999999921,3.673469387755102
False,horizon,2.520487805371398,5.040099999999937,3.7755102040816326
False,horizon,8.128207905509199e+20,4.40009999999995,3.8775510204081636
False,horizon,4.2505762759291285e+21,3.8200999999999627,3.979591836734694
False,horizon,1.6530588058915907,3.300099999999974,4.081632653061225
False,horizon,1.4235090796386909,2.8400999999999836,4.183673469387755
False,horizon,1.2170183955834561,2.4300999999999924,4.285714285714286
False,horizon,1.037107247716856,2.0701,4.387755102040816
False,horizon,3.5152976131464526e+26,1.7601000000000013,4.4897959183673475
False,horizon,0.7422988745413729,1.480100000000001,4.591836734693878
False,horizon,3.597557526341464e+33,1.2501000000000009,4.6938775510204085
False,horizon,0.5231154708670731,1.0401000000000007,4.795918367346939
False,horizon,1.323013458333877e+30,0.8701000000000007,4.8979591836734695
False,horizon,0.3634649017878212,0.7201000000000005,5.0
