theta,phi,m
-6.283185307179586,-6.283185307179586,0.10759299008694853
-6.283185307179586,-4.886921905584122,0.1075929900869483
-6.283185307179586,-3.490658503988659,0.10759299008694853
-6.283185307179586,-2.0943951023931957,0.10759299008694857
-6.283185307179586,-0.6981317007977319,0.10759299008694845
-6.283185307179586,0.6981317007977319,0.10759299008694845
-6.283185307179586,2.094395102393195,0.10759299008694857
-6.283185307179586,3.4906585039886586,0.10759299008694846
-6.283185307179586,4.886921905584122,0.1075929900869483
-6.283185307179586,6.283185307179586,0.10759299008694853
-4.886921905584122,-6.283185307179586,0.1075929900869483
-4.886921905584122,-4.886921905584122,0.10759299008694911
-4.886921905584122,-3.490658503988659,0.10759299008694867
-4.886921905584122,-2.0943951023931957,0.10759299008694799
-4.886921905584122,-0.6981317007977319,0.10759299008694803
-4.886921905584122,0.6981317007977319,0.107592990086948
-4.886921905584122,2.094395102393195,0.10759299008694878
-4.886921905584122,3.4906585039886586,0.1075929900869482
-4.886921905584122,4.886921905584122,0.10759299008694805
-4.886921905584122,6.283185307179586,0.1075929900869483
-3.490658503988659,-6.283185307179586,0.10759299008694853
-3.490658503988659,-4.886921905584122,0.10759299008694828
-3.490658503988659,-3.490658503988659,0.10759299008694827
-3.490658503988659,-2.0943951023931957,0.10759299008694838
-3.490658503988659,-0.6981317007977319,0.10759299008694813
-3.490658503988659,0.6981317007977319,0.10759299008694864
-3.490658503988659,2.094395102393195,0.10759299008694868
-3.490658503988659,3.4906585039886586,0.10759299008694787
-3.490658503988659,4.886921905584122,0.10759299008694868
-3.490658503988659,6.283185307179586,0.10759299008694853
-2.0943951023931957,-6.283185307179586,0.10759299008694857
-2.0943951023931957,-4.886921905584122,0.10759299008694811
-2.0943951023931957,-3.490658503988659,0.10759299008694892
-2.0943951023931957,-2.0943951023931957,0.10759299008694831
-2.0943951023931957,-0.6981317007977319,0.10759299008694848
-2.0943951023931957,0.6981317007977319,0.10759299008694823
-2.0943951023931957,2.094395102393195,0.10759299008694861
-2.0943951023931957,3.4906585039886586,0.10759299008694823
-2.0943951023931957,4.886921905584122,0.10759299008694875
-2.0943951023931957,6.283185307179586,0.10759299008694857
-0.6981317007977319,-6.283185307179586,0.10759299008694843
-0.6981317007977319,-4.886921905584122,0.10759299008694807
-0.6981317007977319,-3.490658503988659,0.10759299008694856
-0.6981317007977319,-2.0943951023931957,0.10759299008694823
-0.6981317007977319,-0.6981317007977319,0.1075929900869483
-0.6981317007977319,0.6981317007977319,0.10759299008694863
-0.6981317007977319,2.094395102393195,0.10759299008694845
-0.6981317007977319,3.4906585039886586,0.1075929900869483
-0.6981317007977319,4.886921905584122,0.10759299008694793
-0.6981317007977319,6.283185307179586,0.10759299008694843
0.6981317007977319,-6.283185307179586,0.10759299008694843
0.6981317007977319,-4.886921905584122,0.10759299008694793
0.6981317007977319,-3.490658503988659,0.10759299008694827
0.6981317007977319,-2.0943951023931957,0.10759299008694846
0.6981317007977319,-0.6981317007977319,0.10759299008694863
0.6981317007977319,0.6981317007977319,0.1075929900869483
0.6981317007977319,2.094395102393195,0.1075929900869483
0.6981317007977319,3.4906585039886586,0.10759299008694853
0.6981317007977319,4.886921905584122,0.10759299008694807
0.6981317007977319,6.283185307179586,0.10759299008694843
2.094395102393195,-6.283185307179586,0.10759299008694857
2.094395102393195,-4.886921905584122,0.10759299008694868
2.094395102393195,-3.490658503988659,0.10759299008694821
2.094395102393195,-2.0943951023931957,0.10759299008694864
2.094395102393195,-0.6981317007977319,0.10759299008694823
2.094395102393195,0.6981317007977319,0.1075929900869485
2.094395102393195,2.094395102393195,0.10759299008694823
2.094395102393195,3.4906585039886586,0.10759299008694892
2.094395102393195,4.886921905584122,0.10759299008694809
2.094395102393195,6.283185307179586,0.10759299008694857
3.4906585039886586,-6.283185307179586,0.10759299008694846
3.4906585039886586,-4.886921905584122,0.10759299008694868
3.4906585039886586,-3.490658503988659,0.10759299008694787
3.4906585039886586,-2.0943951023931957,0.10759299008694877
3.4906585039886586,-0.6981317007977319,0.10759299008694866
3.4906585039886586,0.6981317007977319,0.10759299008694813
3.4906585039886586,2.094395102393195,0.10759299008694838
3.4906585039886586,3.4906585039886586,0.10759299008694825
3.4906585039886586,4.886921905584122,0.10759299008694823
3.4906585039886586,6.283185307179586,0.10759299008694846
4.886921905584122,-6.283185307179586,0.1075929900869483
4.886921905584122,-4.886921905584122,0.10759299008694805
4.886921905584122,-3.490658503988659,0.10759299008694823
4.886921905584122,-2.0943951023931957,0.10759299008694886
4.886921905584122,-0.6981317007977319,0.107592990086948
4.886921905584122,0.6981317007977319,0.10759299008694803
4.886921905584122,2.094395102393195,0.10759299008694796
4.886921905584122,3.4906585039886586,0.10759299008694868
4.886921905584122,4.886921905584122,0.10759299008694911
4.886921905584122,6.283185307179586,0.1075929900869483
6.283185307179586,-6.283185307179586,0.10759299008694853
6.283185307179586,-4.886921905584122,0.1075929900869483
6.283185307179586,-3.490658503988659,0.10759299008694853
6.283185307179586,-2.0943951023931957,0.10759299008694857
6.283185307179586,-0.6981317007977319,0.10759299008694845
6.283185307179586,0.6981317007977319,0.10759299008694845
6.283185307179586,2.094395102393195,0.10759299008694857
6.283185307179586,3.4906585039886586,0.10759299008694846
6.283185307179586,4.886921905584122,0.1075929900869483
6.283185307179586,6.283185307179586,0.10759299008694853
