anchor,status_gamma_off,status_gamma_on,r_final_gamma_off,r_final_gamma_on,psi_final_gamma_off,psi_final_gamma_on,probe_response_ratio_gamma_off,probe_response_ratio_gamma_on,probe_response_ratio_delta,localization_ratio_gamma_off,localization_ratio_gamma_on,mass_final_gamma_off,mass_final_gamma_on,mass_final_delta
scalar,0,0,20.0,20.0,0.11783929446946305,0.11783929446946348,1.1783929446946304,1.1783929446946346,4.218847493575595e-15,0.872046697904056,0.8720466979005634,0.5516028124985035,0.5516028124985083,4.773959005888173e-15
theta_seed,0,0,20.0,20.0,0.11783929446945553,0.11783929446945593,1.1783929446945551,1.1783929446945591,3.9968028886505635e-15,0.8717732154203757,0.8717732154160472,0.5516028124992844,0.5516028124992889,4.440892098500626e-15
rho_seed,0,0,20.0,20.0,0.11783929446945177,0.11783929446945222,1.1783929446945176,1.1783929446945223,4.6629367034256575e-15,0.8718589401681132,0.87185894017199,0.5516028124990143,0.5516028124990193,4.9960036108132044e-15
phi_sheet,1,1,3.382921053437557,3.382921053355878,0.10160266652240277,0.10160266653077443,1.0160266652240275,1.0160266653077443,8.371681126106978e-11,0.9888319341026635,0.9888319340899799,1.6238021056500282,1.6238021056108223,-3.920597180240293e-11
phi_offsheet,0,0,20.0,20.0,0.12689951272362027,0.12733116161442332,1.2689951272362026,1.273311616144233,0.004316488908030491,0.8208721526370077,0.8182228010863636,3.782442927855869,3.787054679322146,0.004611751466276903
mixed_offsheet,0,0,20.0,20.0,0.1268995127226508,0.1273311616133202,1.2689951272265079,1.2733116161332019,0.004316488906694005,0.8208484439102639,0.8181990228063704,3.7824429278162444,3.787054679309144,0.004611751492899607
