rho,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-6.283185307179586,rho,0.5,0.0,0.39269908169872414,-6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132954632,0.14445804132954632,0.11946243646695395,0.1,0.11946243646695395,1.1946243646695394,0.019462436466953947,0.10000219015681516,0.11572010957389449,0.864172964621655,201
-5.385587406153931,rho,0.5,0.0,0.39269908169872414,-5.385587406153931,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.0558473796586685,0.10558473796586684,0.11871566415361824,0.1,0.11871566415361824,1.1871566415361823,0.018715664153618236,0.10000243829745663,0.11510660664296522,0.8687810475348446,256
-4.487989505128276,rho,0.5,0.0,0.39269908169872414,-4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.3719722115411506,0.13719722115411506,0.11931692854576688,0.1,0.11931692854576688,1.1931692854576688,0.019316928545766873,0.10000301106392098,0.11560995171147585,0.8650034844188447,208
-3.5903916041026207,rho,0.5,0.0,0.39269908169872414,-3.5903916041026207,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2008261075750126,0.12008261075750126,0.11898549434314719,0.1,0.11898549434314719,1.1898549434314718,0.018985494343147183,0.10000271736042349,0.11534118831825818,0.867016534323267,230
-2.6927937030769655,rho,0.5,0.0,0.39269908169872414,-2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2008261075764728,0.12008261075764728,0.11898549434317647,0.1,0.11898549434317647,1.1898549434317647,0.018985494343176465,0.10000271734575292,0.11534118586808571,0.8670165526139534,230
-1.7951958020513104,rho,0.5,0.0,0.39269908169872414,-1.7951958020513104,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.3719722115402841,0.1371972211540284,0.11931692854574501,0.1,0.11931692854574501,1.19316928545745,0.019316928545745002,0.10000301097023565,0.11560993227224507,0.8650036290544888,208
-0.8975979010256552,rho,0.5,0.0,0.39269908169872414,-0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.0558473796587717,0.10558473796587717,0.11871566415363194,0.1,0.11871566415363194,1.1871566415363193,0.018715664153631933,0.10000243811208603,0.11510658210316192,0.8687812311415944,256
0.0,rho,0.5,0.0,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132798739,0.1444580413279874,0.11946243646686498,0.1,0.11946243646686498,1.1946243646686499,0.019462436466864977,0.10000217855763004,0.1157178858065758,0.864189471321531,201
0.8975979010256552,rho,0.5,0.0,0.39269908169872414,0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.055847379657874,0.1055847379657874,0.11871566415361785,0.1,0.11871566415361785,1.1871566415361785,0.018715664153617848,0.1000024381093557,0.11510658172700784,0.8687812339569441,256
1.7951958020513104,rho,0.5,0.0,0.39269908169872414,1.7951958020513104,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.3719722115409028,0.13719722115409028,0.11931692854576674,0.1,0.11931692854576674,1.1931692854576674,0.019316928545766734,0.10000301097571034,0.11560993344738964,0.8650036203093092,208
2.6927937030769655,rho,0.5,0.0,0.39269908169872414,2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2008261075750253,0.12008261075750253,0.11898549434314727,0.1,0.11898549434314727,1.1898549434314727,0.018985494343147266,0.10000271733905815,0.11534118468676358,0.8670165614358767,230
3.5903916041026207,rho,0.5,0.0,0.39269908169872414,3.5903916041026207,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.2008261075764575,0.12008261075764574,0.11898549434317637,0.1,0.11898549434317637,1.1898549434317636,0.018985494343176368,0.10000271736711838,0.11534118949950423,0.8670165255019173,230
4.487989505128276,rho,0.5,0.0,0.39269908169872414,4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.371972211540529,0.13719722115405292,0.11931692854574491,0.1,0.11931692854574491,1.193169285457449,0.019316928545744905,0.10000301105844597,0.11560995053659566,0.8650034931620406,208
5.385587406153931,rho,0.5,0.0,0.39269908169872414,5.385587406153931,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.0558473796595649,0.1055847379659565,0.11871566415363217,0.1,0.11871566415363217,1.1871566415363217,0.01871566415363217,0.10000243830018696,0.11510660701878069,0.8687810447220519,256
6.283185307179586,rho,0.5,0.0,0.39269908169872414,6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132954632,0.14445804132954632,0.11946243646695395,0.1,0.11946243646695395,1.1946243646695394,0.019462436466953947,0.10000219015681516,0.11572010957389449,0.864172964621655,201
