phi,hosting_efficiency
-6.283185307179586,-0.18070766484106637
-5.621797380108051,-0.24037284562277006
-4.960409453036515,-0.1837684308716543
-4.29902152596498,-0.19122742930950087
-3.6376335988934447,-0.19869466233325062
-2.9762456718219092,-0.18198872983318215
-2.314857744750374,-0.3466169808137074
-1.6534698176788387,-0.18101678110091868
-0.9920818906073032,-0.21196441199313276
-0.33069396353576774,-0.18665441475306932
0.33069396353576774,-0.18665441475306932
0.9920818906073032,-0.21196441199313276
1.6534698176788378,-0.18101678110091823
2.3148577447503733,-0.34661698081370473
2.976245671821909,-0.1819887298331817
3.6376335988934443,-0.19869466233325062
4.29902152596498,-0.19122742930950087
4.960409453036515,-0.1837684308716543
5.621797380108051,-0.24037284562277006
6.283185307179586,-0.18070766484106637
