r,mass_m,psi,abs_psi
0.0001,0.0,0.1,0.1
0.00011064237623949605,2.2699900517365375e-17,0.10000000000001326,0.10000000000001326
0.0001206915950218457,4.7251401024499695e-17,0.10000000000004741,0.10000000000004741
0.00013197718983857308,7.901182610914385e-17,0.10000000000010718,0.10000000000010718
0.0001445488182715188,1.2030649834288986e-16,0.10000000000019713,0.10000000000019713
0.0001586113065742456,1.7479577878007608e-16,0.10000000000032365,0.10000000000032365
0.000174398541037638,2.4762630871104173e-16,0.10000000000049515,0.10000000000049515
0.00019219161894791772,3.461629513165818e-16,0.1000000000007227,0.1000000000007227
0.0002123290363958763,4.810591022279706e-16,0.10000000000102101,0.10000000000102101
0.0002352206192586312,6.679081776813277e-16,0.1000000000014097,0.1000000000014097
0.00026136532032031314,9.298202916408294e-16,0.10000000000191522,0.10000000000191522
0.00029137424012378235,1.3015010270108518e-15,0.10000000000257353,0.10000000000257353
0.00032600064448558855,1.835807011731449e-15,0.10000000000343388,0.10000000000343388
0.0003661794479384144,2.614454667727394e-15,0.10000000000456463,0.10000000000456463
0.000413079625991402,3.7658187239398786e-15,0.10000000000606162,0.10000000000606162
0.00046817446700233515,5.495066656599407e-15,0.1000000000080609,0.1000000000080609
0.0005333367093925273,8.136199818560761e-15,0.10000000001075836,0.10000000001075836
0.000610968799473295,1.2243857918740542e-14,0.10000000001443995,0.10000000001443995
0.0007041833369412764,1.875901504299828e-14,0.10000000001952987,0.10000000001952987
0.0008170562040001646,2.9315505272271937e-14,0.10000000002666797,0.10000000002666797
0.0009549864784416811,4.682238477732655e-14,0.10000000003683733,0.10000000003683733
0.001125215668098563,7.660276420468114e-14,0.10000000005157876,0.10000000005157876
0.0013375886360179425,1.2869184013943794e-13,0.10000000007336005,0.10000000007336005
0.0016056878119018697,2.226354561153234e-13,0.10000000010622839,0.10000000010622839
0.0019485552536936514,3.978921559870302e-13,0.10000000015699569,0.10000000015699569
0.0023933602052314826,7.373278122403458e-13,0.10000000023745881,0.10000000023745881
0.002979622762269449,1.422739362915044e-12,0.10000000036870108,0.10000000036870108
0.003766063776330623,2.872812007816095e-12,0.10000000058974043,0.10000000058974043
0.004842010901885034,6.105522880834667e-12,0.10000000097564524,0.10000000097564524
0.006346952371578245,1.3751243283326843e-11,0.10000000167725512,0.10000000167725512
0.00850515821198346,3.308977044156634e-11,0.10000000301283148,0.10000000301283148
0.011689222425690603,8.590206069183648e-11,0.1000000056920041,0.1000000056920041
0.016541471981654475,2.434272906537675e-10,0.10000001139960132,0.10000001139960132
0.02421668483081747,7.638199134176532e-10,0.10000002443408193,0.10000002443408193
0.0368928652053788,2.7006871369348254e-09,0.10000005671057761,0.10000005671057761
0.05891097409454295,1.0996039632574282e-08,0.1000001446031196,0.1000001446031196
0.09949621760640134,5.2974773982124955e-08,0.10000041247847179,0.10000041247847179
0.17979553196895032,3.1260222289609526e-07,0.10000134694057282,0.10000134694057282
0.352957797587838,2.365093467909978e-06,0.10000519090449903,0.10000519090449903
0.7693100131561517,2.449676121057192e-05,0.10002466229163369,0.10002466229163369
1.650635979192792,0.00024228525127106403,0.10011357543222496,0.10011357543222496
2.6858324682280017,0.0010466628495522088,0.10030092469556685,0.10030092469556685
3.6582058438601064,0.002654727925779745,0.10055882261618057,0.10055882261618057
4.658400448359328,0.005509931651311421,0.10090740745170554,0.10090740745170554
5.799323553428297,0.010709143284818612,0.10140907043080065,0.10140907043080065
6.970196346011768,0.01876529108735739,0.10204049260038729,0.10204049260038729
8.159758267109797,0.03044176942405817,0.10280471024566766,0.10280471024566766
9.444790350279256,0.047871715922570626,0.10377175865922839,0.10377175865922839
10.70997498685281,0.07091095326815272,0.10487054440092317,0.10487054440092317
12.048714337578991,0.10288780452981314,0.10619576059760798,0.10619576059760798
13.40103822595831,0.14462049194308893,0.10770914806939547,0.10770914806939547
14.75350718701431,0.19759637497288066,0.10940428507124485,0.10940428507124485
16.206475014941855,0.26935509930877594,0.11143556574756598,0.11143556574756598
17.575780487441726,0.3536210009210967,0.11355770443723363,0.11355770443723363
19.009419742628648,0.4623155813446416,0.11600601768674382,0.11600601768674382
20.0,0.5516028124992889,0.11783929446945593,0.11783929446945593
