theta,rho,hosting_efficiency
-3.141592653589793,-3.141592653589793,-0.18987639311064086
-3.141592653589793,-1.8849555921538759,-0.18835489064730737
-3.141592653589793,-0.6283185307179586,-0.18588508770187895
-3.141592653589793,0.6283185307179586,-0.18588508770187895
-3.141592653589793,1.8849555921538759,-0.18835489064730737
-3.141592653589793,3.141592653589793,-0.18987639311064086
-1.8849555921538759,-3.141592653589793,-0.1898763931105727
-1.8849555921538759,-1.8849555921538759,-0.18835489064930777
-1.8849555921538759,-0.6283185307179586,-0.18588508769621193
-1.8849555921538759,0.6283185307179586,-0.18588508769621193
-1.8849555921538759,1.8849555921538759,-0.18835489064930777
-1.8849555921538759,3.141592653589793,-0.1898763931105727
-0.6283185307179586,-3.141592653589793,-0.1898763931104468
-0.6283185307179586,-1.8849555921538759,-0.1883548906533532
-0.6283185307179586,-0.6283185307179586,-0.18588508768354806
-0.6283185307179586,0.6283185307179586,-0.18588508768354806
-0.6283185307179586,1.8849555921538759,-0.1883548906533532
-0.6283185307179586,3.141592653589793,-0.1898763931104468
0.6283185307179586,-3.141592653589793,-0.1898763931104468
0.6283185307179586,-1.8849555921538759,-0.1883548906533532
0.6283185307179586,-0.6283185307179586,-0.18588508768354806
0.6283185307179586,0.6283185307179586,-0.18588508768354806
0.6283185307179586,1.8849555921538759,-0.1883548906533532
0.6283185307179586,3.141592653589793,-0.1898763931104468
1.8849555921538759,-3.141592653589793,-0.1898763931105727
1.8849555921538759,-1.8849555921538759,-0.18835489064930777
1.8849555921538759,-0.6283185307179586,-0.18588508769621193
1.8849555921538759,0.6283185307179586,-0.18588508769621193
1.8849555921538759,1.8849555921538759,-0.18835489064930777
1.8849555921538759,3.141592653589793,-0.1898763931105727
3.141592653589793,-3.141592653589793,-0.18987639311064086
3.141592653589793,-1.8849555921538759,-0.18835489064730737
3.141592653589793,-0.6283185307179586,-0.18588508770187895
3.141592653589793,0.6283185307179586,-0.18588508770187895
3.141592653589793,1.8849555921538759,-0.18835489064730737
3.141592653589793,3.141592653589793,-0.18987639311064086
