phi,rho,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-6.283185307179586,-6.283185307179586,phi_rho,0.5,0.0,-6.283185307179586,-6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124949498,0.05516028124949498,0.11783929446955066,0.1,0.11783929446955066,1.1783929446955066,0.017839294469550654,0.10000081370036222,0.11518298956272202,0.8681908160224261,56
-6.283185307179586,-4.487989505128276,phi_rho,0.5,0.0,-6.283185307179586,-4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124866241,0.055160281248662416,0.11783929446981022,0.1,0.11783929446981022,1.178392944698102,0.01783929446981021,0.10000081553720053,0.11538669510031985,0.8666581138341601,56
-6.283185307179586,-2.6927937030769655,phi_rho,0.5,0.0,-6.283185307179586,-2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028125964109,0.055160281259641085,0.11783929446849947,0.1,0.11783929446849947,1.1783929446849946,0.017839294468499467,0.10000082171954186,0.11549786817181518,0.8658239611035952,59
-6.283185307179586,-0.8975979010256552,phi_rho,0.5,0.0,-6.283185307179586,-0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028126296637,0.05516028126296637,0.11783929446805941,0.1,0.11783929446805941,1.178392944680594,0.017839294468059402,0.1000008307447727,0.11527264996677264,0.8675156749983448,62
-6.283185307179586,0.8975979010256552,phi_rho,0.5,0.0,-6.283185307179586,0.8975979010256552,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028126296648,0.05516028126296648,0.11783929446805953,0.1,0.11783929446805953,1.1783929446805952,0.017839294468059527,0.10000083074477277,0.11527264996719833,0.8675156749951418,62
-6.283185307179586,2.6927937030769655,phi_rho,0.5,0.0,-6.283185307179586,2.6927937030769655,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028125964126,0.055160281259641265,0.11783929446849967,0.1,0.11783929446849967,1.1783929446849966,0.01783929446849966,0.10000082171954201,0.1154978681071047,0.8658239615886952,59
-6.283185307179586,4.487989505128276,phi_rho,0.5,0.0,-6.283185307179586,4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124866253,0.055160281248662534,0.11783929446981038,0.1,0.11783929446981038,1.1783929446981039,0.017839294469810377,0.10000081553720064,0.1153866951005169,0.8666581138326811,56
-6.283185307179586,6.283185307179586,phi_rho,0.5,0.0,-6.283185307179586,6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124949498,0.05516028124949498,0.11783929446955066,0.1,0.11783929446955066,1.1783929446955066,0.017839294469550654,0.10000081370036222,0.11518298956272202,0.8681908160224261,56
-4.487989505128276,-6.283185307179586,phi_rho,0.5,0.0,-4.487989505128276,-6.283185307179586,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.818631135039891,0.0818631135039891,0.11828817028315229,0.1,0.11828817028315229,1.1828817028315228,0.018288170283152286,0.10000210652564925,0.11475144374261864,0.8714670880302703,176
-4.487989505128276,-4.487989505128276,phi_rho,0.5,0.0,-4.487989505128276,-4.487989505128276,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.7943234939696998,0.07943234939696998,0.11824679345853124,0.1,0.11824679345853124,1.1824679345853124,0.018246793458531238,0.10000201997960366,0.11491670167646582,0.8702131067174843,183
