r,mass_m,psi,abs_psi
0.0001,0.0,0.1,0.1
0.00011064237621120814,2.2699900452755793e-17,0.10000000000001326,0.10000000000001326
0.0001206915949745869,4.7251400901163105e-17,0.10000000000004741,0.10000000000004741
0.00013197718976754722,7.901182589411888e-17,0.10000000000010718,0.10000000000010718
0.00014454881817114798,1.203064979863505e-16,0.10000000000019713,0.10000000000019713
0.00015861130643714095,1.747957782029443e-16,0.10000000000032365,0.10000000000032365
0.00017439854085406353,2.476263077873472e-16,0.10000000000049515,0.10000000000049515
0.00019219161870486425,3.461629498431399e-16,0.1000000000007227,0.1000000000007227
0.00021232903607584956,4.810590998731896e-16,0.10000000000102101,0.10000000000102101
0.0002352206188377529,6.679081738952765e-16,0.1000000000014097,0.1000000000014097
0.00026136531976546346,9.298202854945222e-16,0.10000000000191522,0.10000000000191522
0.00029137423938876907,1.3015010169096072e-15,0.10000000000257353,0.10000000000257353
0.00032600064350464785,1.8358069948757172e-15,0.10000000000343388,0.10000000000343388
0.00036617944661662254,2.6144546390932265e-15,0.10000000000456463,0.10000000000456463
0.0004130796241893066,3.765818674284917e-15,0.10000000000606162,0.10000000000606162
0.000468174464511431,5.495066568463637e-15,0.1000000000080609,0.1000000000080609
0.0005333367058948329,8.136199657985529e-15,0.10000000001075836,0.10000000001075836
0.0006109687944735925,1.2243857617562541e-14,0.10000000001443995,0.10000000001443995
0.0007041833296512815,1.8759014459676634e-14,0.10000000001952987,0.10000000001952987
0.0008170561931345807,2.931550410183568e-14,0.10000000002666797,0.10000000002666797
0.000954986461850915,4.6822382335914275e-14,0.10000000003683733,0.10000000003683733
0.0011252156420873906,7.660275889087361e-14,0.10000000005157876,0.10000000005157876
0.0013375885940431586,1.2869182802216785e-13,0.10000000007336005,0.10000000007336005
0.0016056877419993053,2.2263542703596254e-13,0.10000000010622839,0.10000000010622839
0.0019485551332098876,3.9789208217576144e-13,0.10000000015699569,0.10000000015699569
0.0023933599896054556,7.373276129503032e-13,0.10000000023745878,0.10000000023745878
0.00297962236009317,1.4227387868027976e-12,0.10000000036870099,0.10000000036870099
0.003766062991212661,2.8728102111050607e-12,0.10000000058974019,0.10000000058974019
0.0048420092896026955,6.105516781808148e-12,0.1000000009756446,0.1000000009756446
0.00634694886787583,1.3751220510051845e-11,0.10000000167725327,0.10000000167725327
0.008505150096846157,3.3089675724486436e-11,0.10000000301282573,0.10000000301282573
0.011689202219386016,8.590161521465214e-11,0.10000000569198442,0.10000000569198442
0.01654141732570487,2.434248776808174e-10,0.10000001139952598,0.10000001139952598
0.024216522168412715,7.638045218829302e-10,0.10000002443375366,0.10000002443375366
0.03689232414041485,2.7005683150510506e-09,0.10000005670891417,0.10000005670891417
0.05890892298622784,1.0994891120834258e-08,0.10000014459305036,0.10000014459305036
0.09948713497240064,5.296026764643967e-08,0.10000041240316768,0.10000041240316768
0.1797469980440985,3.1234913677086436e-07,0.1000013462134814,0.1000013462134814
0.3526294862288898,2.3584994405406205e-06,0.10000518125192716,0.10000518125192716
0.7662580480160215,2.4206299977707488e-05,0.10002446698323272,0.10002446698323272
1.6441874582567495,0.00023945360796884225,0.10011268936723146,0.10011268936723146
2.679364723542146,0.0010390975046612378,0.100299475432074,0.100299475432074
3.6519350398083716,0.0026410249314243943,0.10055690424571453,0.10055690424571453
4.651572911830501,0.0054855260586358905,0.10090474012056164,0.10090474012056164
5.791386898090978,0.01066463182214779,0.10140519509659239,0.10140519509659239
6.962738786710244,0.01870392623403247,0.10203609379189044,0.10203609379189044
8.151282108863464,0.030344413918548387,0.10279882244973959,0.10279882244973959
9.436969912746978,0.04774854346086148,0.10376542287692885,0.10376542287692885
10.701211463571578,0.07072881418697827,0.10486242484803128,0.10486242484803128
12.040780656257752,0.1026725310763239,0.10618740551745437,0.10618740551745437
13.39171348062651,0.1442964241002405,0.10769809844254723,0.10769809844254723
14.744751033106912,0.19721307300390517,0.10939271223499887,0.10939271223499887
16.19694125654964,0.2688282456738207,0.11142150806434942,0.11142150806434942
17.565965542621242,0.3529528765191538,0.11354175379144851,0.11354175379144851
19.000970695959133,0.4616066556427506,0.11599088751773272,0.11599088751773272
20.0,0.5516028124990193,0.11783929446945222,0.11783929446945222
