theta,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-6.283185307179586,theta,0.5,-6.283185307179586,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132962152,0.14445804132962153,0.11946243646695795,0.1,0.11946243646695795,1.1946243646695793,0.019462436466957944,0.10000219065051351,0.11572020422064958,0.8641722620868718,201
-5.385587406153931,theta,0.5,-5.385587406153931,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132962026,0.14445804132962026,0.11946243646695771,0.1,0.11946243646695771,1.194624364669577,0.019462436466957708,0.10000219064479574,0.11572020314570171,0.8641722700649286,201
-4.487989505128276,theta,0.5,-4.487989505128276,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132961892,0.14445804132961892,0.11946243646695771,0.1,0.11946243646695771,1.194624364669577,0.019462436466957708,0.10000219063679806,0.11572020164211146,0.864172281224288,201
-3.5903916041026207,theta,0.5,-3.5903916041026207,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132961717,0.14445804132961718,0.11946243646695769,0.1,0.11946243646695769,1.1946243646695769,0.01946243646695768,0.10000219062481631,0.11572019938941525,0.8641722979433732,201
-2.6927937030769655,theta,0.5,-2.6927937030769655,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132961402,0.144458041329614,0.11946243646695745,0.1,0.11946243646695745,1.1946243646695744,0.019462436466957445,0.10000219060488641,0.11572019564220477,0.8641723257544702,201
-1.7951958020513104,theta,0.5,-1.7951958020513104,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132960782,0.14445804132960782,0.11946243646695702,0.1,0.11946243646695702,1.1946243646695702,0.019462436466957014,0.10000219056517565,0.11572018817509515,0.8641723811740027,201
-0.8975979010256552,theta,0.5,-0.8975979010256552,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132958935,0.14445804132958934,0.11946243646695627,0.1,0.11946243646695627,1.1946243646695627,0.019462436466956265,0.10000219044722142,0.11572016598984587,0.8641725458291888,201
0.0,theta,0.5,0.0,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132798739,0.1444580413279874,0.11946243646686498,0.1,0.11946243646686498,1.1946243646686499,0.019462436466864977,0.10000217855763004,0.1157178858065758,0.864189471321531,201
0.8975979010256552,theta,0.5,0.8975979010256552,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.4445804132958926,0.14445804132958925,0.11946243646695617,0.1,0.11946243646695617,1.1946243646695616,0.019462436466956168,0.10000219044722142,0.11572016598983535,0.8641725458292674,201
1.7951958020513104,theta,0.5,1.7951958020513104,0.39269908169872414,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.444580413296079,0.14445804132960788,0.11946243646695712,0.1,0.11946243646695712,1.1946243646695711,0.01946243646695711,0.10000219056517562,0.11572018817509006,0.8641723811740405,201
