r,mass_m,psi,abs_psi
0.0001,0.0,0.1,0.1
0.00011089598176758458,1.4662592094346784e-14,0.10000000000001387,0.10000000000001387
0.00012095484474688111,3.101580873776536e-14,0.10000000000004855,0.10000000000004855
0.00013227060543358248,5.295978802743971e-14,0.10000000000010902,0.10000000000010902
0.00014487533995779709,8.223848753506575e-14,0.10000000000019976,0.10000000000019976
0.00015897593143922423,1.2160746943858737e-13,0.10000000000032727,0.10000000000032727
0.00017480708041701741,1.7494543363288365e-13,0.10000000000049998,0.10000000000049998
0.00019265100133966892,2.478085918441715e-13,0.10000000000072905,0.10000000000072905
0.00021284754684815297,3.482399131234285e-13,0.10000000000102925,0.10000000000102925
0.0002358082113464678,4.880183116176105e-13,0.10000000000142037,0.10000000000142037
0.0002620340099810642,6.846080653330213e-13,0.10000000000192903,0.10000000000192903
0.0002921386071244044,9.642453605792561e-13,0.1000000000025914,0.1000000000025914
0.00032687847480745367,1.366900224235022e-12,0.10000000000345713,0.10000000000345713
0.00036719256181616923,1.9543837976555546e-12,0.10000000000459502,0.10000000000459502
0.00041425495187319774,2.8238260132859914e-12,0.10000000000610162,0.10000000000610162
0.000469545442947925,4.130499398953017e-12,0.10000000000811402,0.10000000000811402
0.0005349451224569307,6.127243240809583e-12,0.10000000001082955,0.10000000001082955
0.0006128672130854367,9.23402463023089e-12,0.10000000001453642,0.10000000001453642
0.0007064383092985693,1.4163510824601896e-11,0.10000000001966212,0.10000000001966212
0.0008197525700412546,2.2153406355558194e-11,0.10000000002685162,0.10000000002685162
0.0009582330549783004,3.540792228753339e-11,0.10000000003709596,0.10000000003709596
0.0011291528399696154,5.7961157439001826e-11,0.10000000005194845,0.10000000005194845
0.00134239836430952,9.741933054322794e-11,0.10000000007389703,0.10000000007389703
0.0016116761946459782,1.686203495827434e-10,0.10000000010703113,0.10000000010703113
0.001956301136531691,3.015986640909645e-10,0.10000000015825596,0.10000000015825596
0.002403721539307708,5.59501757927337e-10,0.10000000023952986,0.10000000023952986
0.002993953386290665,1.0811828568602529e-09,0.1000000003722681,0.1000000003722681
0.003786565264025911,2.1873009394722027e-09,0.10000000059619248,0.10000000059619248
0.004872399906264218,4.660206679537571e-09,0.1000000009879467,0.1000000009879467
0.006393762803631331,1.0530475378325431e-08,0.10000000170210796,0.10000000170210796
0.008580407211292792,2.5450887944702207e-08,0.10000000306641049,0.10000000306641049
0.011816160401778464,6.646737081733334e-08,0.10000000581635955,0.10000000581635955
0.016767758868437795,1.899345425340104e-07,0.10000001171379731,0.10000001171379731
0.024647005624691798,6.032119927982358e-07,0.10000002531084382,0.10000002531084382
0.0377804852749838,2.1725829202839047e-06,0.10000005947581166,0.10000005947581166
0.06099793692398546,9.143422090999744e-06,0.10000015505381647,0.10000015505381647
0.1059490101093932,4.790929935985425e-05,0.10000046793259658,0.10000046793259658
0.1756359849761801,0.00021821256822397147,0.10000128697612577,0.10000128697612577
0.25983631335096713,0.0007062679016697072,0.1000028210099758,0.1000028210099758
0.3567362348236927,0.0018265503668981975,0.10000533064762662,0.10000533064762662
0.4648787973486041,0.0040381589046244205,0.1000090861329561,0.1000090861329561
0.582550424925095,0.007935144592903204,0.10001434233519946,0.10001434233519946
0.7083909796981032,0.014240783376286717,0.10002135473003186,0.10002135473003186
0.8415841365704102,0.02381656953429643,0.10003040824498469,0.10003040824498469
0.9819356202366097,0.03769945491247237,0.10004185991903751,0.10004185991903751
1.1300493172102166,0.05719764183925231,0.10005621295170201,0.10005621295170201
1.2877078498273167,0.08410623295508353,0.10007425812155564,0.10007425812155564
1.4573178746050734,0.12085671093574313,0.10009717388968942,0.10009717388968942
1.6096495386955134,0.16122744764622524,0.10012119544823632,0.10012119544823632
1.7619812027859534,0.20877031083498082,0.10014886152363654,0.10014886152363654
1.9002357006748005,0.2580136576031065,0.10017749002438857,0.10017749002438857
2.0280815593676413,0.30831101151053825,0.10020726078149837,0.10020726078149837
2.1496105350578785,0.359692317084916,0.10023875973602728,0.10023875973602728
2.268955395109809,0.41253497200716827,0.10027292980861544,0.10027292980861544
2.3941311339251996,0.468948825948679,0.1003123460724692,0.1003123460724692
2.4950522926384546,0.5137618154787676,0.10034679010142868,0.10034679010142868
2.5844647950692634,0.5518901954489136,0.10037921783642763,0.10037921783642763
2.673877297500072,0.5876898103962921,0.10041331892782132,0.10041331892782132
2.7566740279345434,0.6182160022967136,0.10044625379361692,0.10044625379361692
2.8355185281823134,0.6446820135621163,0.10047870256162954,0.10047870256162954
