phi,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
-6.283185307179586,phi,0.5,0.0,-6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124967267,0.05516028124967267,0.11783929446953498,0.1,0.11783929446953498,1.1783929446953496,0.017839294469534972,0.10000079633109918,0.11514795749594656,0.8684547994229026,56
-5.385587406153931,phi,0.5,0.0,-5.385587406153931,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677676855525324,0.36776768555253236,0.1266438193446413,0.1,0.1266438193446413,1.266438193446413,0.0266438193446413,0.10000268128503882,0.12163425257118678,0.8221588834650995,218
-4.487989505128276,phi,0.5,0.0,-4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311042137271,0.0818631104213727,0.11828817027038245,0.1,0.11828817027038245,1.1828817027038245,0.018288170270382445,0.10000209449228459,0.11478147893817289,0.8712389439253589,176
-3.5903916041026207,phi,0.5,0.0,-3.5903916041026207,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123034643059,0.1763612303464306,0.12014163603828192,0.1,0.12014163603828192,1.2014163603828192,0.02014163603828191,0.10000216166907233,0.11629546982584232,0.8598973100055406,190
-2.6927937030769655,phi,0.5,0.0,-2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248436579476,0.17636248436579477,0.12014166399828001,0.1,0.12014166399828001,1.2014166399828001,0.020141663998280004,0.10000220242808468,0.11630600479040477,0.8598197712001096,190
-1.7951958020513104,phi,0.5,0.0,-1.7951958020513104,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261617453819,0.08186261617453819,0.11828816167261398,0.1,0.11828816167261398,1.1828816167261398,0.018288161672613976,0.10000221645625272,0.11477457578995832,0.8712924074688844,176
-0.8975979010256552,phi,0.5,0.0,-0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.677695459945791,0.3677695459945791,0.12664392800641205,0.1,0.12664392800641205,1.2664392800641204,0.02664392800641205,0.10000280336120294,0.12165194020803355,0.8220403488032412,218
0.0,phi,0.5,0.0,0.0,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124985083,0.055160281249850826,0.11783929446946348,0.1,0.11783929446946348,1.1783929446946346,0.017839294469463474,0.10000077179329181,0.11467364309049258,0.8720466979005634,56
0.8975979010256552,phi,0.5,0.0,0.8975979010256552,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,3.6776769341960764,0.36776769341960763,0.1266438194403209,0.1,0.1266438194403209,1.266438194403209,0.026643819440320904,0.10000268088919721,0.12165157466508915,0.822041812154984,218
1.7951958020513104,phi,0.5,0.0,1.7951958020513104,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186311058356717,0.08186311058356717,0.11828817027114222,0.1,0.11828817027114222,1.182881702711422,0.018288170271142212,0.10000209439316245,0.1147796967597942,0.8712524707435179,176
2.6927937030769655,phi,0.5,0.0,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123034547646,0.17636123034547646,0.12014163603825984,0.1,0.12014163603825984,1.2014163603825982,0.02014163603825983,0.10000216164564678,0.11629545246801201,0.8598974381492103,190
3.5903916041026207,phi,0.5,0.0,3.5903916041026207,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636248436662334,0.17636248436662333,0.12014166399830155,0.1,0.12014166399830155,1.2014166399830155,0.020141663998301543,0.10000220245088104,0.11630602076818837,0.859819653276568,190
