r,mass_m,psi,abs_psi
0.0001,0.0,0.1,0.1
0.00011048171098056278,2.233332947305128e-17,0.10000000000001287,0.10000000000001287
0.00012052440151074921,4.6815541561257646e-17,0.10000000000004669,0.10000000000004669
0.00013179034300338466,7.844684866124215e-17,0.10000000000010603,0.10000000000010603
0.0001443402602051916,1.1956661387632395e-16,0.10000000000019545,0.10000000000019545
0.00015837761738283064,1.7381342712584012e-16,0.10000000000032133,0.10000000000032133
0.00017413570471099451,2.463056851254632e-16,0.10000000000049204,0.10000000000049204
0.00019189480551676523,3.443662889036204e-16,0.10000000000071861,0.10000000000071861
0.00021199241489368756,4.785860512471774e-16,0.10000000000101567,0.10000000000101567
0.00023483711172242016,6.644638354424203e-16,0.10000000000140276,0.10000000000140276
0.0002609262856000439,9.249649998256206e-16,0.1000000000019062,0.1000000000019062
0.00029086906337007863,1.2945703648318237e-15,0.10000000000256176,0.10000000000256176
0.00032541619971127326,1.8257822805935345e-15,0.10000000000341848,0.10000000000341848
0.0003654993881138508,2.5997497059677783e-15,0.10000000000454433,0.10000000000454433
0.0004122834364841394,3.743922696686464e-15,0.10000000000603462,0.10000000000603462
0.0004672361908508455,5.461934015635702e-15,0.1000000000080247,0.1000000000080247
0.000532223212380573,8.085187008190139e-15,0.10000000001070926,0.10000000001070926
0.0006096373820522955,1.2163829010467803e-14,0.10000000001437255,0.10000000001437255
0.0007025784071474522,1.8630886197023154e-14,0.10000000001943608,0.10000000001943608
0.00081510458166519,2.91057790052629e-14,0.1000000000265355,0.1000000000265355
0.0009525906745922258,4.647071420476007e-14,0.10000000003664715,0.10000000003664715
0.0011222441208102903,7.599731018987147e-14,0.10000000005130072,0.10000000005130072
0.0013338612921215526,1.2761882699299119e-13,0.10000000007294536,0.10000000007294536
0.0016009544581236557,2.2067218683386077e-13,0.10000000010559616,0.10000000010559616
0.001942462322427042,3.941711381283713e-13,0.10000000015600805,0.10000000015600805
0.0023853988539158117,7.299940673700295e-13,0.10000000023587374,0.10000000023587374
0.0029690457900421454,1.4076417070298431e-12,0.10000000036607959,0.10000000036607959
0.003751749307382361,2.8401782644574283e-12,0.10000000058525665,0.10000000058525665
0.004822232479768585,6.031009199912701e-12,0.10000000096768102,0.10000000096768102
0.006318979205282649,1.3570224077021166e-11,0.10000000166249244,0.10000000166249244
0.008464536115243539,3.261790381492695e-11,0.10000000298410885,0.10000000298410885
0.011628430358165479,8.456876755125559e-11,0.10000000563294047,0.10000000563294047
0.01644730216257808,2.392934530107437e-10,0.1000000112701619,0.1000000112701619
0.02406487782151564,7.495453059707041e-10,0.10000002412868693,0.10000002412868693
0.03663648200072531,2.6447730320602577e-09,0.10000005592509024,0.10000005592509024
0.05845341665836984,1.0741807717369087e-08,0.10000014236557755,0.10000014236557755
0.09862293808903999,5.1592094854739915e-08,0.10000040526955706,0.10000040526955706
0.17797819167383264,3.032184148854423e-07,0.1000013198487649,0.1000013198487649
0.3486594221493977,2.2797298219971255e-06,0.10000506524052864,0.10000506524052864
0.7562936305613446,2.3273974204819583e-05,0.10002383472451962,0.10002383472451962
1.6292560136894112,0.00023298199476211223,0.10011065103492214,0.10011065103492214
2.665018925208756,0.0010224480283279542,0.10029627341803128,0.10029627341803128
3.6380765232976313,0.0026109100080555793,0.10055267641073652,0.10055267641073652
4.636502207568306,0.005431913245355899,0.10089886645449675,0.10089886645449675
5.773857945951955,0.010566769662424057,0.10139665522463819,0.10139665522463819
6.946282888041397,0.01856900540670823,0.10202640454293029,0.10202640454293029
8.13262570142703,0.030130890359344686,0.10278588564706899,0.10278588564706899
9.419746804253819,0.04747806227300312,0.10375148905503544,0.10375148905503544
10.681977989381801,0.07033023582902662,0.1048446297896529,0.1048446297896529
12.023387746834716,0.10220172693004914,0.10616910991438835,0.10616910991438835
13.371311525190388,0.14358924066638312,0.10767395263794068,0.10767395263794068
14.725642025532483,0.19637849784449757,0.1093674836432484,0.1093674836432484
16.175965736530294,0.2676718526656958,0.11139061372806909,0.11139061372806909
17.54445525195633,0.3514920356200291,0.1135068344961048,0.1135068344961048
18.98249394747457,0.46005932643713243,0.11595782966833297,0.11595782966833297
20.0,0.5516028124985083,0.11783929446946348,0.11783929446946348
