family,anchor_label,theta,phi,rho,u0,u1,u2,u3,R,J_ang_direct,J_ang_formula,formula_abs_error,vacuum_hit,sign_flip_hit
periodic_simple,origin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.648000000000005,10.648000000000003,1.7763568394002505e-15,True,False
periodic_simple,theta_quarter,0.7853981633974483,0.0,0.0,0.01516082733665187,0.9998850680525577,0.0,0.0,1.5556349186104046,3.110554709715849,3.1105547097158497,8.881784197001252e-16,False,False
periodic_simple,phi_quarter,0.0,0.7853981633974483,0.0,0.01516082733665187,0.0,0.9998850680525577,0.0,1.5556349186104046,3.110554709715849,3.1105547097158497,8.881784197001252e-16,False,False
periodic_simple,rho_quarter,0.0,0.0,0.7853981633974483,0.01516082733665187,0.0,0.0,0.9998850680525577,1.5556349186104046,3.110554709715849,3.11055470971585,1.3322676295501878e-15,False,False
periodic_simple,omega_quarter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.648000000000005,10.648000000000003,1.7763568394002505e-15,True,False
periodic_simple,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,-0.9016813933564285,0.24964686050152904,0.24964686050152904,0.24964686050152904,2.694438717061496,0.09695269834501924,0.09695269834501931,6.938893903907228e-17,False,False
periodic_simple,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.9016813933564285,-0.24964686050152904,-0.24964686050152904,-0.24964686050152904,2.694438717061496,0.09695269834501924,0.09695269834501931,6.938893903907228e-17,False,False
periodic_simple,omega_pi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.648000000000005,10.648000000000003,1.7763568394002505e-15,True,False
periodic_simple,theta_pi,3.141592653589793,0.0,0.0,1.0,2.6942229581241775e-16,0.0,0.0,2.6942229581241775e-16,-10.648000000000005,-10.648000000000003,1.7763568394002505e-15,True,False
periodic_simple,phi_pi,0.0,3.141592653589793,0.0,1.0,0.0,2.6942229581241775e-16,0.0,2.6942229581241775e-16,-10.648000000000005,-10.648000000000003,1.7763568394002505e-15,True,False
periodic_simple,rho_pi,0.0,0.0,3.141592653589793,1.0,0.0,0.0,2.6942229581241775e-16,2.6942229581241775e-16,-10.648000000000005,-10.648000000000003,1.7763568394002505e-15,True,False
periodic_harmonic,origin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.44,5.440000000000001,8.881784197001252e-16,True,False
periodic_harmonic,theta_quarter,0.7853981633974483,0.0,0.0,-0.4444628365305649,0.8957972912122498,0.0,0.0,2.031370849898476,0.35201893532700673,0.3520189353270068,5.551115123125783e-17,False,False
periodic_harmonic,phi_quarter,0.0,0.7853981633974483,0.0,0.7999989347220456,0.0,0.6000014203679789,0.0,0.6435028842544401,12.707820152262471,12.707820152262478,7.105427357601002e-15,False,False
periodic_harmonic,rho_quarter,0.0,0.0,0.7853981633974483,0.015160827336652092,0.0,0.0,0.9998850680525578,1.5556349186104044,0.09932274617800434,0.09932274617800435,1.3877787807814457e-17,False,False
periodic_harmonic,omega_quarter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.44,5.440000000000001,8.881784197001252e-16,True,False
periodic_harmonic,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,-0.8759934302989353,0.3713684628291129,0.11764305713238703,0.2843960020773711,2.638287985012447,0.0071843948640923335,0.0071843948640923335,0.0,False,False
periodic_harmonic,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.8759934302989353,-0.3713684628291129,-0.11764305713238703,-0.2843960020773711,2.638287985012447,0.0071843948640923335,0.0071843948640923335,0.0,False,False
periodic_harmonic,omega_pi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.44,5.440000000000001,8.881784197001252e-16,True,False
periodic_harmonic,theta_pi,3.141592653589793,0.0,0.0,1.0,-2.449293598294706e-17,0.0,0.0,2.449293598294706e-17,0.31999999999999995,0.31999999999999995,0.0,True,False
periodic_harmonic,phi_pi,0.0,3.141592653589793,0.0,1.0,0.0,4.041334437186265e-16,0.0,4.041334437186265e-16,-35.90400000000002,-35.904,1.4210854715202004e-14,True,False
periodic_harmonic,rho_pi,0.0,0.0,3.141592653589793,1.0,0.0,0.0,3.91886975727153e-16,3.91886975727153e-16,-5.44,-5.440000000000001,8.881784197001252e-16,True,False
lifted_chart_linear,origin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12375000000000001,0.12375000000000001,0.0,True,False
lifted_chart_linear,theta_quarter,0.7853981633974483,0.0,0.0,0.9081431738250813,0.41865973753742813,0.0,0.0,0.4319689898685966,0.11624183565158415,0.11624183565158416,1.3877787807814457e-17,False,False
lifted_chart_linear,phi_quarter,0.0,0.7853981633974483,0.0,0.9381913359224842,0.0,0.34611705707749296,0.0,0.3534291735288517,0.11868242788867843,0.11868242788867844,1.3877787807814457e-17,False,False
lifted_chart_linear,rho_quarter,0.0,0.0,0.7853981633974483,0.9238795325112867,0.0,0.0,0.3826834323650898,0.39269908169872414,0.11751809893953322,0.11751809893953324,2.7755575615628914e-17,False,False
lifted_chart_linear,omega_quarter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12375000000000001,0.12375000000000001,0.0,True,False
lifted_chart_linear,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7760372577342058,0.3992115869448646,0.32662766204579824,0.3629196244953314,0.682438244588039,0.10569302841844548,0.1056930284184455,1.3877787807814457e-17,False,False
