family,function_class,family_id,held_variables,varied_variables,held_value_labels,sample_count,J_ang_min,J_ang_max,J_ang_abs_max,sign_change,vacuum_hits,sign_flip_hits,singular_sheet_hits
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/4|0,11,-3.110554709715849,3.110554709715849,3.110554709715849,True,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/4|pi/4,11,-0.7190330784881309,0.7190330784881309,0.7190330784881309,True,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/4|pi/2,11,-1.1873281169692712e-17,1.1873281169692712e-17,1.1873281169692712e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/4|pi,11,-3.110554709715849,3.110554709715849,3.110554709715849,True,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/4|3pi/2,11,-3.561984350907805e-17,3.561984350907805e-17,3.561984350907805e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/4|2pi,11,-3.110554709715849,3.110554709715849,3.110554709715849,True,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|-2pi,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|-3pi/2,11,-7.648753753456284e-34,1.137317213545763e-35,7.648753753456284e-34,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|-pi,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|-pi/2,11,-3.791057378485886e-36,2.549584584485434e-34,2.549584584485434e-34,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|-pi/4,11,-1.1873281169692712e-17,1.1873281169692712e-17,1.1873281169692712e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|0,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|pi/4,11,-1.1873281169692712e-17,1.1873281169692712e-17,1.1873281169692712e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|pi/2,11,-3.791057378485886e-36,2.549584584485434e-34,2.549584584485434e-34,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|pi,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|3pi/2,11,-7.648753753456284e-34,1.137317213545763e-35,7.648753753456284e-34,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi/2|2pi,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|-2pi,11,-10.648000000000005,10.648000000000005,10.648000000000005,True,5,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|-3pi/2,11,-2.641684674154671e-16,2.641684674154671e-16,2.641684674154671e-16,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|-pi,11,-10.648000000000005,10.648000000000005,10.648000000000005,True,5,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|-pi/2,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|-pi/4,11,-3.110554709715849,3.110554709715849,3.110554709715849,True,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|0,11,-10.648000000000005,10.648000000000005,10.648000000000005,True,5,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|pi/4,11,-3.110554709715849,3.110554709715849,3.110554709715849,True,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|pi/2,11,-8.80561558051559e-17,8.80561558051559e-17,8.80561558051559e-17,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|pi,11,-10.648000000000005,10.648000000000005,10.648000000000005,True,5,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|3pi/2,11,-2.641684674154671e-16,2.641684674154671e-16,2.641684674154671e-16,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,pi|2pi,11,-10.648000000000005,10.648000000000005,10.648000000000005,True,5,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,3pi/2|-2pi,11,-2.641684674154671e-16,2.641684674154671e-16,2.641684674154671e-16,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,3pi/2|-3pi/2,11,-3.411951640637281e-35,2.29462612603688e-33,2.29462612603688e-33,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,3pi/2|-pi,11,-2.641684674154671e-16,2.641684674154671e-16,2.641684674154671e-16,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,3pi/2|-pi/2,11,-7.648753753456284e-34,1.137317213545763e-35,7.648753753456284e-34,False,0,0,0
periodic_simple,P,1D_VARY_THETA,phi|rho,theta,3pi/2|-pi/4,11,-3.561984350907805e-17,3.561984350907805e-17,3.561984350907805e-17,False,0,0,0
