family,variable,scan_value,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,singular_sheet_hit
periodic_simple,omega,-6.283185307179586,8.572527594031472e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.726800000000002,False
periodic_simple,omega,-6.270913460876501,0.0042950384000022,0.0,0.0,0.0,0.0,1.004304275296972,0.0,0.0,0.0,1.004304275296972,0.0,3.7910946725514822,False
periodic_simple,omega,-6.258641614573416,0.008589429983019356,0.0,0.0,0.0,0.0,1.008626424982862,0.0,0.0,0.0,1.008626424982862,0.0,3.8559077390156067,False
periodic_simple,omega,-6.2463697682703305,0.012882528029475787,0.0,0.0,0.0,0.0,1.0129658652739737,0.0,0.0,0.0,1.0129658652739737,0.0,3.9212176227353184,False
periodic_simple,omega,-6.234097921967246,0.01717368601459633,0.0,0.0,0.0,0.0,1.017322001585455,0.0,0.0,0.0,1.017322001585455,0.0,3.9870014449389037,False
periodic_simple,omega,-6.22182607566416,0.021462257705773168,0.0,0.0,0.0,0.0,1.021694228525498,0.0,0.0,0.0,1.021694228525498,0.0,4.053234998524316,False
periodic_simple,omega,-6.209554229361076,0.025747597259883594,0.0,0.0,0.0,0.0,1.0260819298956283,0.0,0.0,0.0,1.0260819298956283,0.0,4.119892722752352,False
periodic_simple,omega,-6.19728238305799,0.030029059320554097,0.0,0.0,0.0,0.0,1.0304844786972203,0.0,0.0,0.0,1.0304844786972203,0.0,4.186947678942872,False
periodic_simple,omega,-6.1850105367549055,0.034305999115346174,0.0,0.0,0.0,0.0,1.0349012371443704,0.0,0.0,0.0,1.0349012371443704,0.0,4.25437152727031,False
periodic_simple,omega,-6.17273869045182,0.03857777255285918,0.0,0.0,0.0,0.0,1.039331556683261,0.0,0.0,0.0,1.039331556683261,0.0,4.322134504757447,False
periodic_simple,omega,-6.160466844148735,0.04284373631972561,0.0,0.0,0.0,0.0,1.0437747780181355,0.0,0.0,0.0,1.0437747780181355,0.0,4.390205404568115,False
periodic_simple,omega,-6.14819499784565,0.047103247977494246,0.0,0.0,0.0,0.0,1.0482302311440188,0.0,0.0,0.0,1.0482302311440188,0.0,4.458551556701916,False
periodic_simple,omega,-6.135923151542564,0.05135566605937683,0.0,0.0,0.0,0.0,1.0526972353862942,0.0,0.0,0.0,1.0526972353862942,0.0,4.527138810195421,False
periodic_simple,omega,-6.12365130523948,0.05560035016685155,0.0,0.0,0.0,0.0,1.0571750994472626,0.0,0.0,0.0,1.0571750994472626,0.0,4.59593151693625,False
periodic_simple,omega,-6.111379458936394,0.05983666106610561,0.0,0.0,0.0,0.0,1.0616631214597967,0.0,0.0,0.0,1.0616631214597967,0.0,4.664892517197577,False
periodic_simple,omega,-6.0991076126333095,0.06406396078429935,0.0,0.0,0.0,0.0,1.0661605890481944,0.0,0.0,0.0,1.0661605890481944,0.0,4.733983127001762,False
