family,q_hash,class_multiplicity,point_a,point_b,q_a,q_b
periodic_simple,-0.4147097281|-0.5697377864|0.0000000000|0.0000000000,36,"(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, -6.283185307179586)","(-1.5707963267948966, -1.5707963267948966, -6.283185307179586, 0.0)","(-0.4147097281159982, -0.5697377863520765, 1.3954551128187382e-16, 1.3954551128187382e-16)","(-0.4147097281159982, -0.5697377863520765, 1.3954551128187382e-16, 0.0)"
periodic_simple,-0.4147097281|0.0000000000|-0.0000000000|-0.5697377864,24,"(-1.5707963267948966, -6.283185307179586, -3.141592653589793, -1.5707963267948966)","(-1.5707963267948966, -6.283185307179586, -3.141592653589793, 4.71238898038469)","(-0.4147097281159982, 1.3954551128187382e-16, -6.977275564093691e-17, -0.5697377863520765)","(-0.4147097281159982, 1.3954551128187382e-16, -6.977275564093691e-17, -0.5697377863520765)"
periodic_simple,-0.4147097281|0.0000000000|-0.0000000000|0.5697377864,24,"(-1.5707963267948966, -6.283185307179586, -3.141592653589793, -4.71238898038469)","(-1.5707963267948966, -6.283185307179586, -3.141592653589793, 1.5707963267948966)","(-0.4147097281159982, 1.3954551128187382e-16, -6.977275564093691e-17, 0.5697377863520765)","(-0.4147097281159982, 1.3954551128187382e-16, -6.977275564093691e-17, 0.5697377863520765)"
periodic_simple,-0.4147097281|0.0000000000|-0.4028654522|-0.4028654522,6,"(-1.5707963267948966, -6.283185307179586, -0.7853981633974483, -0.7853981633974483)","(-1.5707963267948966, 0.0, -0.7853981633974483, -0.7853981633974483)","(-0.4147097281159982, 1.3954551128187382e-16, -0.40286545222776565, -0.40286545222776565)","(-0.4147097281159982, 0.0, -0.40286545222776565, -0.40286545222776565)"
periodic_simple,-0.4147097281|0.0000000000|-0.4028654522|0.4028654522,6,"(-1.5707963267948966, -6.283185307179586, -0.7853981633974483, 0.7853981633974483)","(-1.5707963267948966, 0.0, -0.7853981633974483, 0.7853981633974483)","(-0.4147097281159982, 1.3954551128187382e-16, -0.40286545222776565, 0.40286545222776565)","(-0.4147097281159982, 0.0, -0.40286545222776565, 0.40286545222776565)"
periodic_simple,-0.4147097281|0.0000000000|-0.5697377864|-0.0000000000,24,"(-1.5707963267948966, -6.283185307179586, -1.5707963267948966, -3.141592653589793)","(-1.5707963267948966, -6.283185307179586, -1.5707963267948966, 6.283185307179586)","(-0.4147097281159982, 1.3954551128187382e-16, -0.5697377863520765, -6.977275564093691e-17)","(-0.4147097281159982, 1.3954551128187382e-16, -0.5697377863520765, -1.3954551128187382e-16)"
periodic_simple,-0.4147097281|0.0000000000|-0.5697377864|0.0000000000,36,"(-1.5707963267948966, -6.283185307179586, -1.5707963267948966, -6.283185307179586)","(-1.5707963267948966, -6.283185307179586, -1.5707963267948966, 0.0)","(-0.4147097281159982, 1.3954551128187382e-16, -0.5697377863520765, 1.3954551128187382e-16)","(-0.4147097281159982, 1.3954551128187382e-16, -0.5697377863520765, 0.0)"
periodic_harmonic,-0.0236350550|-0.8090877957|-0.0000000000|-0.0000000000,8,"(-0.7853981633974483, -1.5707963267948966, -3.141592653589793, -3.141592653589793)","(-0.7853981633974483, -1.5707963267948966, -3.141592653589793, 6.283185307179586)","(-0.023635055048649968, -0.8090877956596091, -2.0436214820664386e-16, -1.9816935583674557e-16)","(-0.023635055048649968, -0.8090877956596091, -2.0436214820664386e-16, -3.9633871167349113e-16)"
periodic_harmonic,-0.0236350550|-0.8090877957|-0.0000000000|0.0000000000,12,"(-0.7853981633974483, -1.5707963267948966, -3.141592653589793, -6.283185307179586)","(-0.7853981633974483, -1.5707963267948966, -3.141592653589793, 0.0)","(-0.023635055048649968, -0.8090877956596091, -2.0436214820664386e-16, 3.9633871167349113e-16)","(-0.023635055048649968, -0.8090877956596091, -2.0436214820664386e-16, 0.0)"
periodic_harmonic,-0.0236350550|-0.8090877957|0.0000000000|-0.0000000000,12,"(-0.7853981633974483, -1.5707963267948966, -6.283185307179586, -3.141592653589793)","(-0.7853981633974483, -1.5707963267948966, -6.283185307179586, 6.283185307179586)","(-0.023635055048649968, -0.8090877956596091, 6.192792369898299e-17, -1.9816935583674557e-16)","(-0.023635055048649968, -0.8090877956596091, 6.192792369898299e-17, -3.9633871167349113e-16)"
