family,anchor_label,hessian_frobenius_q0,hessian_frobenius_q1,hessian_frobenius_q2,hessian_frobenius_q3,hessian_frobenius_total
periodic_simple,origin,8.384020812406751,1.08894443083328,1.08894443083328,1.08894443083328,8.593556010360206
periodic_simple,theta_quarter,4.717517347320365,3.6891984261389372,2.0742557213099584,2.0742557213099584,6.66860019377896
periodic_simple,phi_quarter,4.717517347320365,2.0742557213099584,3.6891984261389372,2.0742557213099584,6.66860019377896
periodic_simple,rho_quarter,4.717517347320364,2.0742557213099584,2.0742557213099584,3.6891984261389372,6.66860019377896
periodic_simple,omega_quarter,10.739783568284711,0.9862184440253637,0.9862184440253637,0.9862184440253637,10.874779609334881
periodic_simple,all_quarter,3.3129822331723173,1.6903390245216858,1.6903390245216858,1.6903390326300534,4.42126558331322
periodic_simple,all_minus_quarter,2.0269749669983392,1.0315247185498844,1.0315247185498844,1.031524723178219,2.701991351082504
periodic_simple,omega_pi,8.384020812568968,1.08894443083903,1.08894443083903,1.08894443083903,8.593556010520652
periodic_simple,theta_pi,8.384020812406751,1.088944430836155,1.08894443083328,1.08894443083328,8.593556010360569
periodic_simple,phi_pi,8.384020812406751,1.08894443083328,1.088944430836155,1.08894443083328,8.593556010360569
periodic_simple,rho_pi,8.384020812406751,1.08894443083328,1.08894443083328,1.088944430836155,8.593556010360569
periodic_harmonic,origin,15.445616006576195,1.6348308337789867,0.2404163076187967,1.5386643119832102,15.609773013840307
periodic_harmonic,theta_quarter,6.614616131072501,4.573628738551794,0.36446872605777125,2.3325997703133963,8.381234129905435
periodic_harmonic,phi_quarter,14.589996778603085,2.022410151500849,3.2209633469275025,1.9034448451585007,15.197231852589239
periodic_harmonic,rho_quarter,8.628509213806357,1.0860083970318724,0.15970712340549534,4.666972974036078,9.87100443707805
periodic_harmonic,omega_quarter,19.08792971564047,0.8400942828960762,0.12354328128209556,0.7906769710299044,19.123160100994085
periodic_harmonic,all_quarter,3.373158607420674,3.241320859501347,1.6664537853993648,3.107451014736508,5.858129388543203
periodic_harmonic,all_minus_quarter,2.2138631814090615,2.1243711538587493,1.0919699726668113,2.0363836741812125,3.841015474457703
periodic_harmonic,omega_pi,15.445183826143923,0.28849956280756267,0.042426407800845015,0.2715289999084022,15.450322437379361
periodic_harmonic,theta_pi,10.243781462958607,0.09616651740756238,0.2404163076187967,1.5386643119832102,10.36193005795081
periodic_harmonic,phi_pi,18.89700108449175,1.6348308337789867,1.5867475765667527,1.5386643119832102,19.095930916796597
periodic_harmonic,rho_pi,15.445616006576195,1.6348308337789867,0.2404163076187967,1.5386643119889603,15.609773013840874
lifted_chart_linear,origin,0.44183690789498764,0.09333809507236343,0.07636753234426104,0.08485281370951012,0.46579378823757833
lifted_chart_linear,theta_quarter,0.41760235599453654,0.15914575052186627,0.08902204227127228,0.09891338029485927,0.4662916238287574
lifted_chart_linear,phi_quarter,0.42973792655651144,0.10006789037192534,0.1102508597960187,0.09097080943668225,0.463809452749622
lifted_chart_linear,rho_quarter,0.42475618521900504,0.10385575710728161,0.08497289219199171,0.1324021163977341,0.464709100406049
lifted_chart_linear,omega_quarter,0.4855045381476392,0.10256288384912482,0.08391508679971729,0.09323898532609809,0.5118291237147863
lifted_chart_linear,all_quarter,0.42895186581120287,0.18123158383233662,0.13329691512450864,0.15533235479006496,0.5086657037658687
lifted_chart_linear,all_minus_quarter,0.35525973687568235,0.15009676001732336,0.11039706528339109,0.128646913157702,0.42127907413123156
lifted_chart_linear,omega_pi,0.6441502451166506,0.1360768024529441,0.11133556566291966,0.12370618406032764,0.6790767722473715
lifted_chart_linear,theta_pi,0.21110139275580994,0.3287235661526139,0.15380763291000715,0.17089736989071078,0.4533052833846927
lifted_chart_linear,phi_pi,0.2861282525541522,0.1492448280719421,0.2510022729875706,0.13567711643794728,0.43075958095643035
lifted_chart_linear,rho_pi,0.24678996398067113,0.16844737347873068,0.13782057831697891,0.2906428983876063,0.4390303066352469
