family,function_class,omega,theta,phi,rho,omega_label,theta_label,phi_label,rho_label,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,jac_rank,vacuum_hit,sign_flip_hit,singular_sheet_hit,q_hash
lifted_chart_linear,L,0.0,0.0,0.0,-6.283185307179586,0,0,0,-2pi,0.0,0.0,0.0,-3.141592653589793,3.141592653589793,-1.0,0.0,0.0,-1.2246467991473532e-16,1.0,1.2246467991473532e-16,2.2565679299233488e-35,2,False,True,True,-1.0000000000|0.0000000000|0.0000000000|-0.0000000000
lifted_chart_linear,L,0.0,0.0,0.0,6.283185307179586,0,0,0,2pi,0.0,0.0,0.0,3.141592653589793,3.141592653589793,-1.0,0.0,0.0,1.2246467991473532e-16,1.0,1.2246467991473532e-16,2.2565679299233488e-35,2,False,True,True,-1.0000000000|0.0000000000|0.0000000000|0.0000000000
