family,dimension_family,free_variables,held_variables,resolution,sample_count,approx_unique_q_count_8dp,singular_fraction,vacuum_hit_count,sign_flip_hit_count,norm_min,norm_max,R_min,R_max,jac_abs_min,jac_abs_max
periodic_simple,3D,theta|phi|rho,omega,33,35937,729,0.0,125,0,1.0,1.0,0.0,3.8105117766515306,2.2661533808706034e-50,3.726800000000001
periodic_simple,3D,omega|phi|rho,theta,33,35937,729,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.003535229664269e-53,7.091705487861116
periodic_simple,3D,omega|theta|rho,phi,33,35937,729,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.003535229664269e-53,7.091705487861116
periodic_simple,3D,omega|theta|phi,rho,33,35937,729,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.0035352296642687e-53,7.091705487861116
periodic_simple,3D,theta|phi|rho,omega,65,274625,4913,0.0,125,0,1.0,1.0,0.0,3.8105117766515306,2.2661533808706034e-50,3.726800000000001
periodic_simple,3D,omega|phi|rho,theta,65,274625,4913,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.003535229664269e-53,7.091705487861116
periodic_simple,3D,omega|theta|rho,phi,65,274625,4913,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.003535229664269e-53,7.091705487861116
periodic_simple,3D,omega|theta|phi,rho,65,274625,4913,0.0,125,0,0.7046880897187134,1.4190675485932571,0.0,3.111269837220809,2.0035352296642687e-53,7.091705487861116
periodic_simple,4D,omega|theta|phi|rho,,11,14641,625,0.0,81,0,0.716863537543698,1.3949656351980977,0.0,3.624012055603861,1.725434137270096e-05,6.8655349078854115
periodic_simple,4D,omega|theta|phi|rho,,17,83521,625,0.0,625,0,0.7046880897187134,1.4190675485932571,0.0,3.8105117766515306,3.421825689177459e-67,7.091705487861116
periodic_simple,4D,omega|theta|phi|rho,,33,1185921,6561,0.0,625,0,0.7046880897187134,1.4190675485932571,0.0,3.8105117766515306,3.421825689177459e-67,7.091705487861116
periodic_harmonic,1D,omega,theta|phi|rho,65,65,31,0.0,5,0,0.7911455020337579,1.26398999606185,0.0,0.0,0.047863065900535934,2.555703411165386
periodic_harmonic,1D,theta,omega|phi|rho,65,65,31,0.0,5,0,1.0,1.0,0.0,2.1618429589442307,0.0160579359022691,1.8496000000000004
periodic_harmonic,1D,phi,omega|theta|rho,65,65,31,0.0,5,0,1.0,1.0,0.0,2.250345858602028,0.11617619526414065,12.207360000000001
periodic_harmonic,1D,rho,omega|theta|phi,65,65,17,0.0,5,0,1.0,1.0,0.0,1.555634918610405,5.978228137781032e-17,1.8496000000000004
periodic_harmonic,1D,omega,theta|phi|rho,257,257,127,0.0,5,0,0.790643118728427,1.2647931491622628,0.0,0.0,0.007023705961785445,2.5638193452461753
periodic_harmonic,1D,theta,omega|phi|rho,257,257,127,0.0,5,0,1.0,1.0,0.0,2.1660949139139554,0.0020626128518658605,1.8496000000000004
periodic_harmonic,1D,phi,omega|theta|rho,257,257,127,0.0,5,0,1.0,1.0,0.0,2.258686974288458,0.032804718668255635,12.207360000000001
periodic_harmonic,1D,rho,omega|theta|phi,257,257,65,0.0,5,0,1.0,1.0,0.0,1.5574665653496478,5.978228137781032e-17,1.8496000000000004
periodic_harmonic,1D,omega,theta|phi|rho,1025,1025,511,0.0,5,0,0.7906347753428701,1.2648064962312537,0.0,0.0,0.00338162125174642,2.5642723330541752
periodic_harmonic,1D,theta,omega|phi|rho,1025,1025,511,0.0,5,0,1.0,1.0,0.0,2.1660949139139554,0.0010167290727725682,1.8496000000000004
periodic_harmonic,1D,phi,omega|theta|rho,1025,1025,511,0.0,5,0,1.0,1.0,0.0,2.2593714443079307,0.008763142597983026,12.207360000000001
periodic_harmonic,1D,rho,omega|theta|phi,1025,1025,257,0.0,5,0,1.0,1.0,0.0,1.5579420059142957,5.978228137781032e-17,1.8496000000000004
periodic_harmonic,2D,omega|theta,phi|rho,33,1089,225,0.0,25,0,0.7911455020337579,1.26398999606185,0.0,2.114603355085952,0.0015227360263978845,2.555703411165386
periodic_harmonic,2D,omega|phi,theta|rho,33,1089,225,0.0,25,0,0.7911455020337579,1.26398999606185,0.0,2.250345858602028,0.003006352124784329,16.867642513691546
periodic_harmonic,2D,omega|rho,theta|phi,33,1089,135,0.0,25,0,0.7911455020337579,1.26398999606185,0.0,1.555634918610405,1.5470173406523122e-18,2.555703411165386
