family,anchor_label,omega,theta,phi,rho,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,jac_rank,vacuum_hit,sign_flip_hit,singular_sheet_hit
periodic_simple,origin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.7268000000000012,4,True,False,False
periodic_simple,theta_quarter,0.0,0.7853981633974483,0.0,0.0,0.0,1.5556349186104046,0.0,0.0,1.5556349186104046,0.01516082733665187,0.9998850680525577,0.0,0.0,1.0,0.9998850680525577,1.088694148400547,4,False,False,False
periodic_simple,phi_quarter,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,1.5556349186104046,0.0,1.5556349186104046,0.01516082733665187,0.0,0.9998850680525577,0.0,1.0,0.9998850680525577,1.088694148400547,4,False,False,False
periodic_simple,rho_quarter,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,1.5556349186104046,1.5556349186104046,0.01516082733665187,0.0,0.0,0.9998850680525577,1.0,0.9998850680525577,1.088694148400547,4,False,False,False
periodic_simple,omega_quarter,0.7853981633974483,0.0,0.0,0.0,0.2474873734152916,0.0,0.0,0.0,0.0,1.280803190111647,0.0,0.0,0.0,1.280803190111647,0.0,7.091705487861119,4,False,False,False
periodic_simple,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.2474873734152916,1.5556349186104046,1.5556349186104046,1.5556349186104046,2.694438717061496,-1.1548764050752285,0.31974849533171573,0.31974849533171573,0.31974849533171573,1.280803190111647,0.5538206395582316,0.06457174895908312,4,False,False,False
periodic_simple,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.2474873734152916,-1.5556349186104046,-1.5556349186104046,-1.5556349186104046,2.694438717061496,-0.7039968359836996,-0.1949143025477376,-0.1949143025477376,-0.1949143025477376,0.7807600790819629,0.33760147513453337,0.008916272741708142,4,False,False,False
periodic_simple,omega_pi,3.141592653589793,0.0,0.0,0.0,4.286263797015736e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.7268000000000012,4,True,False,False
periodic_simple,theta_pi,0.0,3.141592653589793,0.0,0.0,0.0,2.6942229581241775e-16,0.0,0.0,2.6942229581241775e-16,1.0,2.6942229581241775e-16,0.0,0.0,1.0,2.6942229581241775e-16,-3.7268000000000012,4,True,False,False
periodic_simple,phi_pi,0.0,0.0,3.141592653589793,0.0,0.0,0.0,2.6942229581241775e-16,0.0,2.6942229581241775e-16,1.0,0.0,2.6942229581241775e-16,0.0,1.0,2.6942229581241775e-16,-3.7268000000000012,4,True,False,False
periodic_simple,rho_pi,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,2.6942229581241775e-16,2.6942229581241775e-16,1.0,0.0,0.0,2.6942229581241775e-16,1.0,2.6942229581241775e-16,-3.7268000000000012,4,True,False,False
periodic_harmonic,origin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.8496000000000008,4,True,False,False
periodic_harmonic,theta_quarter,0.0,0.7853981633974483,0.0,0.0,0.0,2.031370849898476,0.0,0.0,2.031370849898476,-0.4444628365305649,0.8957972912122498,0.0,0.0,1.0,0.8957972912122498,0.11968643801118228,4,False,False,False
periodic_harmonic,phi_quarter,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.6435028842544401,0.0,0.6435028842544401,0.7999989347220456,0.0,0.6000014203679789,0.0,1.0,0.6000014203679789,4.320658851769241,4,False,False,False
periodic_harmonic,rho_quarter,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,1.5556349186104044,1.5556349186104044,0.015160827336652092,0.0,0.0,0.9998850680525578,1.0,0.9998850680525578,0.033769733700521484,4,False,False,False
periodic_harmonic,omega_quarter,0.7853981633974483,0.0,0.0,0.0,0.2114213562373095,0.0,0.0,0.0,0.0,1.2354328027239645,0.0,0.0,0.0,1.2354328027239645,0.0,1.792216251089189,4,False,False,False
periodic_harmonic,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.2114213562373095,2.031370849898476,0.6435028842544401,1.5556349186104044,2.638287985012447,-1.0822310187619935,0.4588007808762614,0.1453400917940804,0.351352149929937,1.2354328027239645,0.5958776989246769,0.0023669097848654386,4,False,False,False
periodic_harmonic,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.2114213562373095,-2.031370849898476,-0.6435028842544401,-1.5556349186104044,2.638287985012447,-0.7090579336791825,-0.3005978649832634,-0.0952241650642591,-0.23019949077790058,0.8094329354013698,0.3904081500162186,0.0004361427705714667,4,False,False,False
periodic_harmonic,omega_pi,3.141592653589793,0.0,0.0,0.0,7.347880794884118e-18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.3264000000000001,4,True,False,False
periodic_harmonic,theta_pi,0.0,3.141592653589793,0.0,0.0,0.0,-2.449293598294706e-17,0.0,0.0,2.449293598294706e-17,1.0,-2.449293598294706e-17,0.0,0.0,1.0,2.449293598294706e-17,0.10879999999999997,4,True,False,False
periodic_harmonic,phi_pi,0.0,0.0,3.141592653589793,0.0,0.0,0.0,4.041334437186265e-16,0.0,4.041334437186265e-16,1.0,0.0,4.041334437186265e-16,0.0,1.0,4.041334437186265e-16,-12.207360000000001,4,True,False,False
periodic_harmonic,rho_pi,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0,3.91886975727153e-16,3.91886975727153e-16,1.0,0.0,0.0,3.91886975727153e-16,1.0,3.91886975727153e-16,-1.8496000000000008,4,True,False,False
